global_step,episode,episode_return,episode_length,epsilon,loss
6,1,0.0,6,0.999943,nan
12,2,0.0,6,0.999886,nan
18,3,0.0,6,0.999829,nan
24,4,0.0,6,0.999772,nan
30,5,0.0,6,0.999715,nan
36,6,0.0,6,0.999658,nan
42,7,0.0,6,0.999601,nan
48,8,0.0,6,0.999544,nan
54,9,0.0,6,0.999487,nan
60,10,0.0,6,0.99943,nan
66,11,0.0,6,0.999373,nan
72,12,0.0,6,0.999316,nan
88,13,1.0,16,0.999164,nan
94,14,0.0,6,0.999107,nan
100,15,0.0,6,0.99905,nan
106,16,0.0,6,0.998993,nan
154,17,4.0,48,0.998537,nan
160,18,0.0,6,0.99848,nan
166,19,0.0,6,0.998423,nan
172,20,0.0,6,0.998366,nan
188,21,1.0,16,0.998214,nan
194,22,0.0,6,0.998157,nan
200,23,0.0,6,0.9981,nan
206,24,0.0,6,0.998043,nan
222,25,1.0,16,0.997891,nan
228,26,0.0,6,0.997834,nan
234,27,0.0,6,0.997777,nan
250,28,1.0,16,0.997625,nan
256,29,0.0,6,0.997568,nan
272,30,1.0,16,0.997416,nan
278,31,0.0,6,0.997359,nan
294,32,1.0,16,0.997207,nan
310,33,1.0,16,0.997055,nan
316,34,0.0,6,0.996998,nan
322,35,0.0,6,0.996941,nan
328,36,0.0,6,0.996884,nan
334,37,0.0,6,0.996827,nan
340,38,0.0,6,0.99677,nan
346,39,0.0,6,0.996713,nan
352,40,0.0,6,0.996656,nan
368,41,1.0,16,0.996504,nan
374,42,0.0,6,0.996447,nan
380,43,0.0,6,0.99639,nan
396,44,1.0,16,0.996238,nan
402,45,0.0,6,0.996181,nan
408,46,0.0,6,0.996124,nan
414,47,0.0,6,0.996067,nan
420,48,0.0,6,0.99601,nan
436,49,1.0,16,0.995858,nan
442,50,0.0,6,0.995801,nan
448,51,0.0,6,0.995744,nan
454,52,0.0,6,0.995687,nan
470,53,1.0,16,0.995535,nan
496,54,2.0,26,0.995288,nan
502,55,0.0,6,0.995231,nan
508,56,0.0,6,0.995174,nan
514,57,0.0,6,0.995117,nan
530,58,1.0,16,0.994965,nan
546,59,1.0,16,0.994813,nan
552,60,0.0,6,0.994756,nan
558,61,0.0,6,0.994699,nan
596,62,3.0,38,0.994338,nan
602,63,0.0,6,0.994281,nan
640,64,3.0,38,0.99392,nan
646,65,0.0,6,0.993863,nan
652,66,0.0,6,0.993806,nan
668,67,1.0,16,0.993654,nan
684,68,1.0,16,0.993502,nan
690,69,0.0,6,0.993445,nan
696,70,0.0,6,0.993388,nan
712,71,1.0,16,0.993236,nan
728,72,1.0,16,0.993084,nan
744,73,1.0,16,0.992932,nan
760,74,1.0,16,0.99278,nan
776,75,1.0,16,0.992628,nan
782,76,0.0,6,0.992571,nan
788,77,0.0,6,0.992514,nan
804,78,1.0,16,0.992362,nan
820,79,1.0,16,0.99221,nan
848,80,2.0,28,0.991944,nan
854,81,0.0,6,0.991887,nan
870,82,1.0,16,0.991735,nan
876,83,0.0,6,0.991678,nan
882,84,0.0,6,0.991621,nan
888,85,0.0,6,0.991564,nan
894,86,0.0,6,0.991507,nan
910,87,1.0,16,0.991355,nan
916,88,0.0,6,0.991298,nan
932,89,1.0,16,0.991146,nan
938,90,0.0,6,0.991089,nan
954,91,1.0,16,0.990937,nan
960,92,0.0,6,0.99088,nan
966,93,0.0,6,0.990823,nan
982,94,1.0,16,0.990671,nan
998,95,1.0,16,0.990519,nan
1004,96,0.0,6,0.990462,nan
1020,97,1.0,16,0.99031,nan
1026,98,0.0,6,0.990253,nan
1032,99,0.0,6,0.990196,nan
1058,100,2.0,26,0.989949,nan
1064,101,0.0,6,0.989892,nan
1080,102,1.0,16,0.98974,nan
1096,103,1.0,16,0.989588,nan
1102,104,0.0,6,0.989531,nan
1108,105,0.0,6,0.989474,nan
1114,106,0.0,6,0.989417,nan
1130,107,1.0,16,0.989265,nan
1136,108,0.0,6,0.989208,nan
1142,109,0.0,6,0.989151,nan
1158,110,1.0,16,0.988999,nan
1164,111,0.0,6,0.988942,nan
1170,112,0.0,6,0.988885,nan
1176,113,0.0,6,0.988828,nan
1182,114,0.0,6,0.988771,nan
1198,115,1.0,16,0.988619,nan
1204,116,0.0,6,0.988562,nan
1210,117,0.0,6,0.988505,nan
1226,118,1.0,16,0.988353,nan
1232,119,0.0,6,0.988296,nan
1238,120,0.0,6,0.988239,nan
1244,121,0.0,6,0.988182,nan
1250,122,0.0,6,0.988125,nan
1256,123,0.0,6,0.988068,nan
1272,124,1.0,16,0.987916,nan
1298,125,2.0,26,0.987669,nan
1304,126,0.0,6,0.987612,nan
1310,127,0.0,6,0.987555,nan
1326,128,1.0,16,0.987403,nan
1332,129,0.0,6,0.987346,nan
1338,130,0.0,6,0.987289,nan
1344,131,0.0,6,0.987232,nan
1350,132,0.0,6,0.987175,nan
1366,133,1.0,16,0.987023,nan
1372,134,0.0,6,0.986966,nan
1378,135,0.0,6,0.986909,nan
1394,136,1.0,16,0.986757,nan
1400,137,0.0,6,0.9867,nan
1406,138,0.0,6,0.986643,nan
1422,139,1.0,16,0.986491,nan
1428,140,0.0,6,0.986434,nan
1434,141,0.0,6,0.986377,nan
1440,142,0.0,6,0.98632,nan
1478,143,3.0,38,0.985959,nan
1484,144,0.0,6,0.9859020000000001,nan
1500,145,1.0,16,0.98575,nan
1506,146,0.0,6,0.985693,nan
1522,147,1.0,16,0.985541,nan
1550,148,2.0,28,0.985275,nan
1556,149,0.0,6,0.985218,nan
1562,150,0.0,6,0.985161,nan
1568,151,0.0,6,0.985104,nan
1574,152,0.0,6,0.985047,nan
1580,153,0.0,6,0.98499,nan
1586,154,0.0,6,0.984933,nan
1592,155,0.0,6,0.984876,nan
1608,156,1.0,16,0.984724,nan
1624,157,1.0,16,0.984572,nan
1630,158,0.0,6,0.984515,nan
1636,159,0.0,6,0.984458,nan
1642,160,0.0,6,0.984401,nan
1648,161,0.0,6,0.984344,nan
1654,162,0.0,6,0.984287,nan
1660,163,0.0,6,0.98423,nan
1676,164,1.0,16,0.984078,nan
1682,165,0.0,6,0.984021,nan
1698,166,1.0,16,0.983869,nan
1714,167,1.0,16,0.983717,nan
1720,168,0.0,6,0.98366,nan
1746,169,2.0,26,0.983413,nan
1752,170,0.0,6,0.983356,nan
1758,171,0.0,6,0.983299,nan
1784,172,2.0,26,0.983052,nan
1800,173,1.0,16,0.9829,nan
1806,174,0.0,6,0.982843,nan
1812,175,0.0,6,0.982786,nan
1818,176,0.0,6,0.982729,nan
1834,177,1.0,16,0.982577,nan
1850,178,1.0,16,0.982425,nan
1856,179,0.0,6,0.982368,nan
1862,180,0.0,6,0.982311,nan
1888,181,2.0,26,0.982064,nan
1894,182,0.0,6,0.982007,nan
1910,183,1.0,16,0.981855,nan
1916,184,0.0,6,0.981798,nan
1922,185,0.0,6,0.981741,nan
1938,186,1.0,16,0.981589,nan
1954,187,1.0,16,0.981437,nan
1960,188,0.0,6,0.98138,nan
1976,189,1.0,16,0.981228,nan
1982,190,0.0,6,0.981171,nan
1988,191,0.0,6,0.981114,nan
1994,192,0.0,6,0.981057,nan
2022,193,2.0,28,0.980791,nan
2028,194,0.0,6,0.980734,nan
2034,195,0.0,6,0.980677,nan
2040,196,0.0,6,0.98062,nan
2046,197,0.0,6,0.980563,nan
2062,198,1.0,16,0.980411,nan
2068,199,0.0,6,0.980354,nan
2118,200,4.0,50,0.979879,nan
2124,201,0.0,6,0.979822,nan
2130,202,0.0,6,0.979765,nan
2136,203,0.0,6,0.979708,nan
2142,204,0.0,6,0.979651,nan
2148,205,0.0,6,0.979594,nan
2154,206,0.0,6,0.979537,nan
2160,207,0.0,6,0.97948,nan
2166,208,0.0,6,0.979423,nan
2172,209,0.0,6,0.979366,nan
2178,210,0.0,6,0.979309,nan
2194,211,1.0,16,0.979157,nan
2200,212,0.0,6,0.9791,nan
