#{"t_start": 1774698399.128374, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,232,424.002447
1.0,165,424.727782
2.0,204,425.583142
0.0,156,426.245264
2.0,206,427.117698
0.0,161,427.794053
1.0,185,428.612197
2.0,287,430.299508
2.0,232,431.673455
0.0,135,432.277523
2.0,206,433.158906
0.0,148,433.783852
2.0,216,434.680189
1.0,200,435.530298
6.0,349,436.993027
2.0,222,437.969136
0.0,166,438.682747
3.0,234,439.711464
2.0,203,440.578394
2.0,182,441.34128
2.0,221,442.572835
3.0,245,443.993439
7.0,409,445.95895
1.0,153,446.604967
2.0,197,447.455982
1.0,166,448.185968
4.0,298,449.478953
0.0,124,450.015715
1.0,171,450.735139
1.0,152,451.405728
2.0,199,452.250472
1.0,154,452.919612
1.0,153,453.595641
2.0,189,454.389332
0.0,128,455.184586
1.0,168,456.276151
1.0,154,457.261194
2.0,198,458.29148
0.0,122,458.836277
3.0,249,459.939337
3.0,232,460.978918
3.0,228,461.979844
5.0,290,463.261836
2.0,201,464.123719
3.0,226,465.10996
3.0,211,466.048123
2.0,199,466.943263
2.0,200,467.952168
2.0,184,469.153353
2.0,202,470.51335
4.0,274,471.828284
1.0,150,472.494647
4.0,267,473.665528
2.0,218,474.614519
0.0,126,475.190506
4.0,281,476.447426
1.0,151,477.145635
0.0,124,477.704021
0.0,144,478.388575
2.0,203,479.296709
2.0,188,480.160039
1.0,159,480.986204
2.0,199,482.214664
2.0,200,483.524644
2.0,248,484.756373
6.0,352,486.431284
1.0,151,487.150058
1.0,155,487.868349
2.0,194,488.77246
0.0,125,489.3489
2.0,186,490.204095
0.0,122,490.771495
2.0,204,491.719063
2.0,219,492.751869
1.0,189,493.628063
0.0,135,494.403513
1.0,193,495.630511
2.0,264,497.223934
1.0,169,498.017864
4.0,317,499.493551
2.0,213,500.457952
2.0,185,501.329475
1.0,203,502.283282
2.0,201,503.216812
4.0,270,504.479499
2.0,197,505.415397
0.0,187,506.288785
1.0,185,507.358823
4.0,293,509.18299
3.0,229,510.536958
1.0,161,511.290764
4.0,297,512.718175
1.0,178,513.541703
1.0,168,514.355815
4.0,275,515.684733
2.0,199,516.6218
8.0,343,518.203017
1.0,209,519.153348
2.0,221,520.273018
0.0,169,521.311694
4.0,322,523.268229
2.0,239,524.398325
1.0,190,525.25402
1.0,211,526.236474
3.0,220,527.233165
3.0,226,528.247318
3.0,270,529.507548
2.0,187,530.376785
2.0,199,531.283598
2.0,206,532.25844
3.0,217,533.414815
2.0,180,534.533342
3.0,260,536.117331
2.0,181,536.992473
1.0,166,537.786946
3.0,279,539.11001
7.0,435,541.135979
5.0,302,542.546783
1.0,178,543.365087
0.0,146,544.060493
3.0,231,545.142963
3.0,229,546.421329
2.0,181,547.550677
0.0,137,548.49246
5.0,291,550.006212
5.0,367,551.740844
1.0,187,552.60931
3.0,219,553.620937
4.0,291,554.976509
5.0,310,556.440376
6.0,344,558.101597
3.0,275,559.569193
2.0,202,560.807756
4.0,274,562.527081
2.0,182,563.418026
4.0,323,564.958918
4.0,297,566.388158
3.0,244,567.597486
6.0,373,569.468829
2.0,183,570.382489
2.0,200,571.366174
3.0,248,572.813737
2.0,181,573.973746
5.0,383,576.202239
3.0,229,577.342029
1.0,151,578.072167
5.0,355,579.742462
2.0,219,580.809929
3.0,245,582.002549
4.0,317,583.552394
1.0,150,584.27018
1.0,167,585.076737
3.0,232,586.593846
2.0,181,587.8279
2.0,198,588.916208
3.0,246,590.10563
2.0,182,590.999928
3.0,247,592.191662
3.0,225,593.328271
2.0,198,594.309372
5.0,347,595.995445
2.0,197,596.957621
1.0,151,597.71127
5.0,287,599.495706
3.0,225,601.008325
2.0,197,602.031564
3.0,225,603.16289
4.0,257,604.386259
3.0,227,605.500726
2.0,197,606.466919
2.0,197,607.441171
4.0,274,608.756904
3.0,226,609.837662
5.0,314,611.471753
3.0,210,612.805691
2.0,181,614.08908
4.0,293,615.549603
3.0,245,616.746209
2.0,181,617.626225
2.0,198,618.59431
3.0,225,619.652184
3.0,230,620.749488
3.0,246,621.960877
3.0,212,622.981038
4.0,274,624.357626
3.0,245,625.916304
3.0,212,627.415715
5.0,313,628.996654
2.0,180,629.884179
7.0,522,632.427132
2.0,200,633.410466
4.0,274,634.791153
4.0,320,636.38025
6.0,474,639.307084
4.0,275,641.073457
2.0,181,642.00381
4.0,277,793.538728
3.0,413,795.736204
6.0,392,798.345569
2.0,182,799.256789
2.0,181,800.169117
3.0,225,801.281604
2.0,197,802.263636
4.0,274,803.626669
6.0,347,805.327574
4.0,268,806.641481
7.0,602,810.097431
5.0,345,812.1182
3.0,230,813.256033
3.0,239,814.481272
4.0,257,815.772968
12.0,535,818.402373
3.0,239,819.606569
11.0,563,822.677131
3.0,229,824.231015
12.0,718,827.786317
3.0,249,829.023973
10.0,377,830.897479
7.0,254,832.157509
9.0,497,834.687657
6.0,385,837.272185
3.0,231,838.488949
3.0,226,839.628878
5.0,341,841.295156
5.0,311,842.790436
8.0,474,845.11466
8.0,456,847.328576
7.0,413,850.072096
5.0,345,851.889845
4.0,260,853.1361
4.0,243,854.324399
4.0,274,855.69501
8.0,398,857.652669
6.0,329,859.292675
3.0,214,860.364908
7.0,391,862.91662
4.0,260,864.407375
7.0,424,866.533018
6.0,365,868.356814
3.0,231,869.533477
8.0,459,871.814905
6.0,397,873.892033
3.0,231,875.366963
8.0,536,878.431255
0.0,123,879.033473
5.0,328,880.639759
2.0,197,881.632899
3.0,281,883.034519
11.0,577,885.787152
2.0,182,886.751266
7.0,257,888.431697
6.0,511,891.324371
7.0,405,893.323727
6.0,371,895.141447
6.0,398,897.052333
6.0,536,899.659048
4.0,273,901.492495
10.0,529,904.48733
4.0,260,905.740653
6.0,389,907.608923
6.0,357,909.331534
3.0,254,910.576609
7.0,405,912.57125
6.0,407,915.167083
12.0,584,918.19446
6.0,392,920.110965
4.0,243,921.303562
11.0,562,923.99801
5.0,312,925.482396
7.0,428,928.145821
6.0,329,929.967701
2.0,183,930.878267
7.0,523,933.33429
4.0,276,934.643107
7.0,496,937.024103
8.0,571,940.136558
3.0,208,941.504469
12.0,632,944.74415
3.0,228,945.850921
8.0,422,947.897982
8.0,406,949.902797
9.0,493,952.565874
7.0,373,955.044242
7.0,373,956.866232
3.0,246,958.050746
5.0,305,959.579023
7.0,374,961.470071
7.0,396,963.474853
11.0,489,966.160888
2.0,181,967.374158
7.0,413,969.687766
8.0,434,971.834057
6.0,362,973.664118
6.0,367,975.449232
8.0,405,977.400759
10.0,519,980.585322
7.0,373,982.593135
3.0,209,983.630282
8.0,447,985.794508
6.0,320,987.321889
8.0,431,989.397217
8.0,453,991.816989
4.0,240,993.376711
6.0,409,995.688478
8.0,427,997.777153
3.0,245,998.958835
8.0,422,1000.98751
8.0,449,1003.216364
16.0,489,1006.073544
5.0,305,1007.976818
10.0,508,1010.473978
7.0,373,1012.365872
7.0,401,1014.334737
8.0,461,1016.589732
6.0,392,1018.919647
8.0,441,1021.54358
10.0,397,1023.47097
5.0,305,1024.957865
7.0,389,1026.874926
7.0,395,1028.840822
6.0,343,1030.611526
5.0,287,1032.433388
7.0,373,1034.662949
10.0,380,1036.486704
7.0,383,1038.361115
11.0,583,1041.212554
10.0,486,1043.539692
6.0,335,1045.702658
9.0,496,1048.415879
8.0,409,1050.383598
9.0,476,1052.722637
7.0,442,1059.487141
4.0,259,1060.877102
10.0,474,1063.25606
11.0,563,1066.044304
6.0,373,1067.880881
5.0,303,1069.338178
6.0,337,1071.439319
11.0,532,1074.578076
11.0,545,1077.187767
7.0,366,1078.917358
10.0,518,1081.428894
6.0,393,1083.539031
10.0,430,1086.253226
6.0,485,1088.648778
10.0,562,1091.467349
6.0,367,1093.332154
11.0,550,1096.074186
9.0,473,1099.187159
5.0,326,1100.804004
10.0,467,1103.156323
6.0,374,1105.026753
9.0,462,1107.319815
9.0,440,1109.619229
10.0,453,1112.617358
12.0,576,1115.498044
7.0,391,1117.416481
8.0,418,1119.448991
9.0,451,1121.690827
4.0,241,1123.116298
6.0,398,1125.804353
6.0,359,1127.591925
15.0,588,1130.471701
3.0,212,1131.504603
9.0,439,1133.628306
6.0,390,1135.631347
5.0,328,1137.766727
7.0,406,1140.045072
17.0,698,1143.478043
17.0,651,1146.649588
9.0,429,1148.844515
11.0,548,1152.275241
10.0,485,1154.668917
5.0,308,1156.20372
11.0,506,1158.691338
9.0,509,1161.156296
4.0,295,1162.945709
9.0,482,1165.762402
7.0,413,1167.742921
9.0,454,1169.97626
9.0,469,1172.258515
12.0,537,1174.991887
5.0,328,1177.27421
11.0,553,1180.14061
6.0,345,1181.819279
8.0,473,1184.10315
8.0,416,1186.152046
11.0,536,1189.084619
7.0,400,1191.494171
11.0,534,1194.108122
9.0,501,1196.589216
16.0,602,1199.506401
10.0,483,1202.196168
7.0,381,1204.451096
7.0,404,1206.380055
11.0,523,1208.893709
6.0,337,1210.461708
10.0,517,1212.900236
8.0,455,1215.448673
12.0,544,1218.661876
8.0,422,1220.73105
9.0,462,1222.977503
13.0,526,1225.588125
10.0,499,1228.44784
9.0,441,1231.128734
9.0,470,1233.416229
7.0,385,1235.29391
7.0,409,1237.252833
7.0,404,1239.234942
4.0,260,1240.561773
13.0,495,1243.670709
9.0,505,1246.135487
8.0,403,1248.08586
8.0,413,1250.080837
11.0,559,1252.768526
8.0,380,1255.045985
9.0,466,1257.771603
14.0,719,1261.375076
11.0,553,1264.031991
8.0,441,1266.164479
7.0,381,1268.579923
17.0,607,1271.833083
