#{"t_start": 1774686233.2027977, "env_id": "None"}
r,l,t
0.0,6,1.932018
2.0,26,1.980052
1.0,16,2.009515
0.0,6,2.020168
1.0,16,2.048704
0.0,6,2.05965
1.0,16,2.091068
0.0,6,2.10149
0.0,6,2.112751
2.0,26,2.163764
1.0,16,2.196763
0.0,6,2.209514
0.0,6,2.222124
1.0,16,2.252192
0.0,6,2.262828
0.0,6,2.273546
0.0,6,2.286712
0.0,6,2.298296
0.0,6,2.309467
1.0,16,2.338524
0.0,6,2.348526
0.0,6,2.35875
0.0,6,2.369025
1.0,16,2.397745
0.0,6,2.408081
2.0,26,2.452288
4.0,48,2.543025
0.0,6,2.553564
0.0,6,2.564382
3.0,38,2.633388
2.0,28,2.696416
0.0,6,2.708926
1.0,16,2.737184
0.0,6,2.747452
1.0,16,2.774562
0.0,6,2.78483
0.0,6,2.797336
0.0,6,2.807581
0.0,6,2.817817
0.0,6,2.828078
0.0,6,2.838243
2.0,26,2.883908
0.0,6,2.896708
1.0,16,2.941335
1.0,16,2.969269
0.0,6,2.979616
0.0,6,2.99005
1.0,16,3.021979
4.0,48,3.110261
0.0,6,3.121048
0.0,6,3.131639
1.0,16,3.159303
0.0,6,3.169633
0.0,6,3.180687
1.0,16,3.218638
1.0,16,3.248224
0.0,6,3.258862
0.0,6,3.26979
0.0,6,3.280308
0.0,6,3.291198
0.0,6,3.301625
0.0,6,3.313793
0.0,6,3.324078
1.0,16,3.351557
0.0,6,3.361691
0.0,6,3.371807
0.0,6,3.381932
0.0,6,3.392082
0.0,6,3.402415
0.0,6,3.412493
1.0,16,3.441296
0.0,6,3.451605
1.0,16,3.478492
1.0,16,3.511072
0.0,6,3.528236
0.0,6,3.53854
0.0,6,3.549314
0.0,6,3.559658
0.0,6,3.570172
0.0,6,3.580784
0.0,6,3.591498
1.0,16,3.621727
0.0,6,3.63232
1.0,16,3.65993
0.0,6,3.670591
0.0,6,3.681153
0.0,6,3.691694
0.0,6,3.709159
1.0,16,3.748115
0.0,6,3.758752
1.0,16,3.78694
0.0,6,3.798621
0.0,6,3.81355
0.0,6,3.831004
0.0,6,3.841707
1.0,16,3.871338
