global_step,update,mean_train_return,policy_loss,value_loss,entropy,total_loss
2048,1,0.2,-0.005207243491895497,0.20077311899513006,1.0891317054629326,0.08428799890680239
4096,2,0.5,-0.0005465201684273779,0.2521123983897269,1.08505355194211,0.11465914500877261
6144,3,0.55,-0.0018033664382528514,0.24329747492447495,1.0831921733915806,0.10901344910962507
8192,4,0.45,-0.004170582978986204,0.24364607548341155,1.0547072179615498,0.1071053838240914
10000,5,0.65,-0.009809804643737152,0.21535979583859444,1.026419922709465,0.08760589387384243
