generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,1.0,1.0259783267974854,3.0,20
2,1.25,1.3327850103378296,4.0,40
3,2.700000047683716,2.430074691772461,9.0,60
4,1.75,2.2448770999908447,10.0,80
5,1.5499999523162842,1.6050907373428345,5.0,100
6,1.4500000476837158,1.7312910556793213,5.0,120
7,2.25,1.8602489233016968,5.0,140
8,1.649999976158142,1.3088765144348145,4.0,160
9,2.0999999046325684,1.6511558294296265,5.0,180
10,1.5,1.432700753211975,5.0,200
11,1.2999999523162842,1.341640830039978,5.0,220
12,1.75,1.5517393350601196,5.0,240
13,1.350000023841858,1.5312532186508179,5.0,260
14,1.2999999523162842,1.4545753002166748,5.0,280
15,1.850000023841858,2.323223829269409,9.0,300
16,2.4000000953674316,2.392972230911255,9.0,320
17,1.25,2.291287899017334,9.0,340
18,1.75,1.8883298635482788,5.0,360
19,1.25,1.7434086799621582,5.0,380
20,1.899999976158142,2.2918620109558105,9.0,400
