#{"t_start": 1774699733.286163, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,128,2.502772
3.0,240,2.847616
3.0,255,3.271133
3.0,259,3.648745
1.0,161,3.921432
4.0,317,4.356372
0.0,150,4.583378
1.0,180,4.845114
1.0,173,5.092262
0.0,130,5.267601
1.0,195,5.546044
0.0,135,5.756536
0.0,130,5.940533
1.0,184,6.208096
2.0,214,6.513106
2.0,243,6.875662
0.0,134,7.077714
1.0,160,7.310318
0.0,160,7.541734
2.0,233,7.890922
0.0,133,8.09426
3.0,260,8.454368
3.0,259,8.840976
2.0,187,9.11207
0.0,148,9.316517
1.0,163,9.553894
5.0,346,10.25409
0.0,134,10.588747
6.0,352,11.389446
2.0,198,11.836451
3.0,249,12.420182
2.0,221,12.941454
1.0,173,13.204624
1.0,173,13.46125
1.0,176,13.728526
2.0,223,14.070967
0.0,144,14.2885
3.0,258,14.653997
3.0,225,14.963745
0.0,129,15.166557
1.0,182,15.427888
0.0,133,15.615011
0.0,149,15.825109
0.0,126,15.997887
3.0,248,16.369065
2.0,189,16.631576
0.0,149,16.83189
2.0,212,17.137156
3.0,233,17.46637
0.0,137,17.670105
2.0,203,17.954163
1.0,196,18.899912
2.0,218,19.650247
3.0,264,20.545704
3.0,282,21.529623
0.0,133,21.97369
1.0,181,22.588602
0.0,130,23.098247
1.0,177,23.920209
0.0,127,24.483874
0.0,130,25.109944
0.0,135,25.851458
2.0,204,26.586631
0.0,138,27.068534
2.0,230,27.859422
1.0,156,28.38755
1.0,182,29.000668
2.0,202,29.703977
2.0,226,30.489584
1.0,191,31.140172
1.0,177,31.729158
2.0,207,32.437446
2.0,248,33.281677
1.0,154,33.833041
0.0,137,34.315719
0.0,131,34.757182
2.0,235,35.550555
0.0,128,36.017542
4.0,314,37.511593
0.0,132,38.198622
2.0,226,39.280277
0.0,127,39.731795
0.0,131,40.19587
2.0,200,40.88931
10.0,482,42.548816
1.0,205,43.257799
2.0,229,44.058851
0.0,138,44.537223
1.0,194,45.211038
3.0,222,45.968852
0.0,162,46.550767
1.0,190,47.232665
2.0,238,48.108874
2.0,205,48.852566
0.0,143,49.620132
3.0,250,50.888546
2.0,206,52.055604
1.0,159,52.688361
1.0,166,53.314668
3.0,245,54.21819
1.0,158,54.810599
0.0,134,55.31308
0.0,139,55.821156
0.0,136,56.335846
3.0,258,57.289565
3.0,289,58.344115
2.0,225,59.178756
1.0,173,59.793307
4.0,268,60.75896
2.0,206,61.523198
0.0,136,62.015286
1.0,178,62.979809
2.0,203,64.089135
1.0,180,65.074346
0.0,171,65.784883
1.0,175,66.440126
1.0,193,67.137286
0.0,142,67.662198
2.0,189,68.359899
1.0,176,69.032153
3.0,275,70.048452
0.0,142,70.561839
0.0,176,71.216863
3.0,253,72.144919
1.0,168,72.801631
1.0,190,73.514906
1.0,181,74.23152
0.0,141,74.769173
1.0,177,75.55589
2.0,199,76.633393
0.0,136,77.359789
0.0,142,78.237503
0.0,141,78.831079
2.0,218,79.659566
2.0,217,80.518039
0.0,131,81.006858
2.0,196,81.766725
0.0,145,82.326244
0.0,132,82.834987
1.0,191,83.575381
0.0,141,84.114953
0.0,140,84.652254
0.0,148,85.215564
0.0,135,85.742479
2.0,205,86.534012
0.0,141,87.040525
2.0,219,87.895709
3.0,252,89.054184
1.0,175,89.959798
3.0,239,91.29484
1.0,199,92.149535
0.0,131,92.669215
3.0,257,93.660535
1.0,182,94.353205
1.0,159,94.999124
3.0,250,95.934498
1.0,186,96.653172
0.0,140,97.197752
0.0,132,97.698661
2.0,205,98.491915
2.0,235,99.412338
1.0,178,100.112422
2.0,214,100.898611
2.0,200,101.801891
0.0,134,102.564719
