global_step,episode,episode_return,episode_length,epsilon,loss
16,1,1.0,16,0.999848,nan
22,2,0.0,6,0.999791,nan
38,3,1.0,16,0.999639,nan
44,4,0.0,6,0.999582,nan
50,5,0.0,6,0.999525,nan
56,6,0.0,6,0.999468,nan
72,7,1.0,16,0.999316,nan
78,8,0.0,6,0.999259,nan
84,9,0.0,6,0.999202,nan
90,10,0.0,6,0.999145,nan
128,11,3.0,38,0.998784,nan
134,12,0.0,6,0.998727,nan
140,13,0.0,6,0.99867,nan
146,14,0.0,6,0.998613,nan
152,15,0.0,6,0.998556,nan
158,16,0.0,6,0.998499,nan
174,17,1.0,16,0.998347,nan
180,18,0.0,6,0.99829,nan
186,19,0.0,6,0.998233,nan
192,20,0.0,6,0.998176,nan
198,21,0.0,6,0.998119,nan
204,22,0.0,6,0.998062,nan
220,23,1.0,16,0.99791,nan
226,24,0.0,6,0.997853,nan
232,25,0.0,6,0.997796,nan
238,26,0.0,6,0.997739,nan
244,27,0.0,6,0.997682,nan
260,28,1.0,16,0.99753,nan
266,29,0.0,6,0.997473,nan
272,30,0.0,6,0.997416,nan
278,31,0.0,6,0.997359,nan
284,32,0.0,6,0.997302,nan
290,33,0.0,6,0.997245,nan
318,34,2.0,28,0.996979,nan
334,35,1.0,16,0.996827,nan
340,36,0.0,6,0.99677,nan
346,37,0.0,6,0.996713,nan
352,38,0.0,6,0.996656,nan
358,39,0.0,6,0.996599,nan
374,40,1.0,16,0.996447,nan
390,41,1.0,16,0.996295,nan
406,42,1.0,16,0.996143,nan
422,43,1.0,16,0.995991,nan
438,44,1.0,16,0.995839,nan
444,45,0.0,6,0.995782,nan
450,46,0.0,6,0.995725,nan
478,47,2.0,28,0.995459,nan
494,48,1.0,16,0.995307,nan
500,49,0.0,6,0.99525,nan
506,50,0.0,6,0.995193,nan
522,51,1.0,16,0.995041,nan
528,52,0.0,6,0.994984,nan
534,53,0.0,6,0.994927,nan
540,54,0.0,6,0.99487,nan
568,55,2.0,28,0.994604,nan
574,56,0.0,6,0.994547,nan
580,57,0.0,6,0.99449,nan
586,58,0.0,6,0.994433,nan
592,59,0.0,6,0.994376,nan
598,60,0.0,6,0.994319,nan
604,61,0.0,6,0.994262,nan
610,62,0.0,6,0.994205,nan
616,63,0.0,6,0.994148,nan
622,64,0.0,6,0.994091,nan
660,65,3.0,38,0.99373,nan
666,66,0.0,6,0.993673,nan
672,67,0.0,6,0.993616,nan
678,68,0.0,6,0.993559,nan
684,69,0.0,6,0.993502,nan
700,70,1.0,16,0.99335,nan
706,71,0.0,6,0.993293,nan
712,72,0.0,6,0.993236,nan
718,73,0.0,6,0.993179,nan
734,74,1.0,16,0.993027,nan
750,75,1.0,16,0.992875,nan
756,76,0.0,6,0.992818,nan
772,77,1.0,16,0.992666,nan
778,78,0.0,6,0.992609,nan
784,79,0.0,6,0.992552,nan
790,80,0.0,6,0.992495,nan
796,81,0.0,6,0.992438,nan
812,82,1.0,16,0.992286,nan
818,83,0.0,6,0.992229,nan
824,84,0.0,6,0.992172,nan
830,85,0.0,6,0.992115,nan
836,86,0.0,6,0.992058,nan
842,87,0.0,6,0.992001,nan
858,88,1.0,16,0.991849,nan
874,89,1.0,16,0.991697,nan
880,90,0.0,6,0.99164,nan
886,91,0.0,6,0.991583,nan
902,92,1.0,16,0.991431,nan
908,93,0.0,6,0.991374,nan
914,94,0.0,6,0.991317,nan
920,95,0.0,6,0.99126,nan
926,96,0.0,6,0.9912030000000001,nan
932,97,0.0,6,0.991146,nan
938,98,0.0,6,0.991089,nan
944,99,0.0,6,0.991032,nan
972,100,2.0,28,0.990766,nan
978,101,0.0,6,0.990709,nan
984,102,0.0,6,0.990652,nan
990,103,0.0,6,0.990595,nan
996,104,0.0,6,0.990538,nan
1022,105,2.0,26,0.990291,nan
1038,106,1.0,16,0.990139,nan
1044,107,0.0,6,0.990082,nan
1050,108,0.0,6,0.990025,nan
1056,109,0.0,6,0.989968,nan
1062,110,0.0,6,0.989911,nan
1068,111,0.0,6,0.989854,nan
1074,112,0.0,6,0.989797,nan
1102,113,2.0,28,0.989531,nan
1118,114,1.0,16,0.989379,nan
1124,115,0.0,6,0.989322,nan
1130,116,0.0,6,0.989265,nan
1136,117,0.0,6,0.989208,nan
1142,118,0.0,6,0.989151,nan
1148,119,0.0,6,0.989094,nan
1154,120,0.0,6,0.989037,nan
1160,121,0.0,6,0.98898,nan
1176,122,1.0,16,0.988828,nan
1192,123,1.0,16,0.988676,nan
1198,124,0.0,6,0.988619,nan
1204,125,0.0,6,0.988562,nan
1210,126,0.0,6,0.988505,nan
1216,127,0.0,6,0.988448,nan
1232,128,1.0,16,0.988296,nan
1238,129,0.0,6,0.988239,nan
1244,130,0.0,6,0.988182,nan
