global_step,episode,episode_return,episode_length,epsilon,loss
1670,173,0.0,6,0.984135,nan
1676,174,0.0,6,0.984078,nan
1692,175,1.0,16,0.983926,nan
1698,176,0.0,6,0.983869,nan
1704,177,0.0,6,0.983812,nan
1710,178,0.0,6,0.983755,nan
1716,179,0.0,6,0.983698,nan
1722,180,0.0,6,0.983641,nan
1738,181,1.0,16,0.9834890000000001,nan
1744,182,0.0,6,0.983432,nan
1760,183,1.0,16,0.98328,nan
1766,184,0.0,6,0.983223,nan
1772,185,0.0,6,0.983166,nan
1788,186,1.0,16,0.983014,nan
1804,187,1.0,16,0.982862,nan
1810,188,0.0,6,0.982805,nan
1816,189,0.0,6,0.982748,nan
1822,190,0.0,6,0.982691,nan
1828,191,0.0,6,0.982634,nan
1844,192,1.0,16,0.982482,nan
1850,193,0.0,6,0.982425,nan
1866,194,1.0,16,0.982273,nan
1872,195,0.0,6,0.982216,nan
1878,196,0.0,6,0.982159,nan
1904,197,2.0,26,0.981912,nan
1910,198,0.0,6,0.981855,nan
1916,199,0.0,6,0.981798,nan
1932,200,1.0,16,0.981646,nan
1938,201,0.0,6,0.981589,nan
1954,202,1.0,16,0.981437,nan
1960,203,0.0,6,0.98138,nan
1976,204,1.0,16,0.981228,nan
1982,205,0.0,6,0.981171,nan
1988,206,0.0,6,0.981114,nan
1994,207,0.0,6,0.981057,nan
2000,208,0.0,6,0.981,nan
2006,209,0.0,6,0.980943,nan
2012,210,0.0,6,0.980886,nan
2018,211,0.0,6,0.980829,nan
2024,212,0.0,6,0.980772,nan
2030,213,0.0,6,0.980715,nan
2036,214,0.0,6,0.980658,nan
2062,215,2.0,26,0.980411,nan
2068,216,0.0,6,0.980354,nan
2074,217,0.0,6,0.980297,nan
2080,218,0.0,6,0.98024,nan
2096,219,1.0,16,0.980088,nan
2102,220,0.0,6,0.980031,nan
2108,221,0.0,6,0.979974,nan
2114,222,0.0,6,0.979917,nan
2120,223,0.0,6,0.97986,nan
2136,224,1.0,16,0.979708,nan
2142,225,0.0,6,0.979651,nan
2148,226,0.0,6,0.979594,nan
2164,227,1.0,16,0.979442,nan
2170,228,0.0,6,0.979385,nan
2176,229,0.0,6,0.979328,nan
2182,230,0.0,6,0.979271,nan
2188,231,0.0,6,0.979214,nan
2194,232,0.0,6,0.979157,nan
2220,233,2.0,26,0.97891,nan
2226,234,0.0,6,0.978853,nan
2232,235,0.0,6,0.978796,nan
2248,236,1.0,16,0.978644,nan
2254,237,0.0,6,0.978587,nan
2260,238,0.0,6,0.97853,nan
2276,239,1.0,16,0.978378,nan
2282,240,0.0,6,0.978321,nan
2298,241,1.0,16,0.978169,nan
2304,242,0.0,6,0.978112,nan
2320,243,1.0,16,0.97796,nan
2326,244,0.0,6,0.977903,nan
2342,245,1.0,16,0.977751,nan
2348,246,0.0,6,0.977694,nan
2354,247,0.0,6,0.977637,nan
2360,248,0.0,6,0.97758,nan
2366,249,0.0,6,0.977523,nan
2372,250,0.0,6,0.977466,nan
2388,251,1.0,16,0.977314,nan
2394,252,0.0,6,0.977257,nan
2400,253,0.0,6,0.9772,nan
2406,254,0.0,6,0.977143,nan
2412,255,0.0,6,0.977086,nan
2418,256,0.0,6,0.977029,nan
2424,257,0.0,6,0.976972,nan
2430,258,0.0,6,0.976915,nan
2446,259,1.0,16,0.976763,nan
2452,260,0.0,6,0.976706,nan
2458,261,0.0,6,0.976649,nan
2464,262,0.0,6,0.976592,nan
2470,263,0.0,6,0.976535,nan
2476,264,0.0,6,0.976478,nan
2482,265,0.0,6,0.976421,nan
2488,266,0.0,6,0.976364,nan
2504,267,1.0,16,0.976212,nan
2520,268,1.0,16,0.97606,nan
2526,269,0.0,6,0.976003,nan
2532,270,0.0,6,0.975946,nan
2548,271,1.0,16,0.975794,nan
2554,272,0.0,6,0.975737,nan
2570,273,1.0,16,0.975585,nan
2576,274,0.0,6,0.975528,nan
2592,275,1.0,16,0.975376,nan
2598,276,0.0,6,0.975319,nan
2604,277,0.0,6,0.975262,nan
2620,278,1.0,16,0.97511,nan
2626,279,0.0,6,0.975053,nan
2632,280,0.0,6,0.974996,nan
2638,281,0.0,6,0.974939,nan
2654,282,1.0,16,0.974787,nan
2682,283,2.0,28,0.974521,nan
2688,284,0.0,6,0.974464,nan
2694,285,0.0,6,0.974407,nan
2700,286,0.0,6,0.97435,nan
2706,287,0.0,6,0.974293,nan
2712,288,0.0,6,0.974236,nan
2740,289,2.0,28,0.97397,nan
2746,290,0.0,6,0.973913,nan
2752,291,0.0,6,0.973856,nan
2758,292,0.0,6,0.973799,nan
2764,293,0.0,6,0.973742,nan
2770,294,0.0,6,0.973685,nan
2776,295,0.0,6,0.973628,nan
2792,296,1.0,16,0.973476,nan
2798,297,0.0,6,0.973419,nan
2804,298,0.0,6,0.973362,nan
2820,299,1.0,16,0.97321,nan
2826,300,0.0,6,0.973153,nan
2842,301,1.0,16,0.973001,nan
2848,302,0.0,6,0.972944,nan
2854,303,0.0,6,0.9728870000000001,nan
2860,304,0.0,6,0.97283,nan
2876,305,1.0,16,0.972678,nan
2882,306,0.0,6,0.972621,nan
2888,307,0.0,6,0.972564,nan
2904,308,1.0,16,0.972412,nan
2910,309,0.0,6,0.972355,nan
2916,310,0.0,6,0.972298,nan
2922,311,0.0,6,0.972241,nan
2948,312,2.0,26,0.971994,nan
2954,313,0.0,6,0.971937,nan
2960,314,0.0,6,0.97188,nan
2976,315,1.0,16,0.971728,nan
2982,316,0.0,6,0.971671,nan
3010,317,2.0,28,0.971405,nan
3026,318,1.0,16,0.971253,nan
3032,319,0.0,6,0.971196,nan
3038,320,0.0,6,0.971139,nan
3066,321,2.0,28,0.970873,nan
3072,322,0.0,6,0.970816,nan
3088,323,1.0,16,0.970664,nan
3094,324,0.0,6,0.970607,nan
3100,325,0.0,6,0.97055,nan
3106,326,0.0,6,0.970493,nan
3122,327,1.0,16,0.970341,nan
3160,328,3.0,38,0.96998,nan
3166,329,0.0,6,0.969923,nan
3182,330,1.0,16,0.969771,nan
3188,331,0.0,6,0.969714,nan
3216,332,2.0,28,0.969448,nan
3222,333,0.0,6,0.969391,nan
3238,334,1.0,16,0.969239,nan
3244,335,0.0,6,0.969182,nan
3260,336,1.0,16,0.9690300000000001,nan
3266,337,0.0,6,0.968973,nan
3272,338,0.0,6,0.968916,nan
3278,339,0.0,6,0.968859,nan
3284,340,0.0,6,0.968802,nan
3290,341,0.0,6,0.968745,nan
3296,342,0.0,6,0.968688,nan
3312,343,1.0,16,0.9685360000000001,nan
3328,344,1.0,16,0.968384,nan
3344,345,1.0,16,0.968232,nan
3372,346,2.0,28,0.967966,nan
3378,347,0.0,6,0.967909,nan
3384,348,0.0,6,0.967852,nan
