generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,2.0,2.3619794845581055,10.0,20
2,1.2999999523162842,1.2182817459106445,4.0,40
3,1.75,2.2682011127471924,10.0,60
4,1.5,1.3572417497634888,5.0,80
5,1.149999976158142,1.0894228219985962,3.0,100
6,1.350000023841858,1.268027901649475,4.0,120
7,1.350000023841858,1.308876633644104,5.0,140
8,1.25,1.6819474697113037,7.0,160
9,1.0499999523162842,0.9986833333969116,3.0,180
10,1.649999976158142,1.4244111776351929,5.0,200
11,1.4500000476837158,1.4317821264266968,5.0,220
12,1.2999999523162842,1.4903196096420288,6.0,240
13,1.649999976158142,1.6311118602752686,6.0,260
14,1.75,1.2085224390029907,5.0,280
15,1.149999976158142,1.1821033954620361,3.0,300
16,1.100000023841858,1.1652873754501343,4.0,320
17,1.7000000476837158,1.5593520402908325,6.0,340
18,1.9500000476837158,2.3277502059936523,10.0,360
19,1.75,1.6819474697113037,5.0,380
20,1.7000000476837158,1.7198530435562134,5.0,400
