global_step,episode,episode_return,episode_length,epsilon,loss
177,1,1.0,177,0.9983185,nan
309,2,0.0,132,0.9970645,nan
482,3,1.0,173,0.995421,nan
656,4,1.0,174,0.993768,nan
817,5,1.0,161,0.9922385,nan
996,6,1.0,179,0.990538,nan
1150,7,1.0,154,0.989075,nan
1287,8,0.0,137,0.9877735,nan
1515,9,2.0,228,0.9856075,nan
1838,10,5.0,323,0.982539,nan
2196,11,5.0,358,0.979138,nan
2322,12,0.0,126,0.977941,nan
2480,13,1.0,158,0.97644,nan
2629,14,0.0,149,0.9750245,nan
2812,15,1.0,183,0.973286,nan
2952,16,0.0,140,0.971956,nan
3088,17,0.0,136,0.970664,nan
3312,18,2.0,224,0.9685360000000001,nan
3442,19,0.0,130,0.967301,nan
3607,20,1.0,165,0.9657335,nan
3859,21,3.0,252,0.9633395,nan
4009,22,0.0,150,0.9619145,nan
4175,23,0.0,166,0.9603375,nan
4304,24,0.0,129,0.959112,nan
4478,25,1.0,174,0.9574590000000001,nan
4607,26,0.0,129,0.9562335,nan
4796,27,1.0,189,0.954438,nan
4998,28,2.0,202,0.952519,nan
5212,29,2.0,214,0.950486,nan
5359,30,0.0,147,0.9490895,nan
5581,31,2.0,222,0.9469805,nan
5717,32,0.0,136,0.9456885,nan
5899,33,1.0,182,0.9439595,nan
6105,34,2.0,206,0.9420025,nan
6241,35,0.0,136,0.9407105,nan
6374,36,0.0,133,0.939447,nan
6626,37,2.0,252,0.937053,nan
6757,38,0.0,131,0.9358085,nan
7035,39,4.0,278,0.9331675,nan
7178,40,0.0,143,0.931809,nan
7315,41,0.0,137,0.9305075,nan
7457,42,0.0,142,0.9291585,nan
7691,43,2.0,234,0.9269355,nan
7836,44,0.0,145,0.925558,nan
8355,45,12.0,519,0.9206275,nan
8549,46,2.0,194,0.9187845,nan
8728,47,1.0,179,0.917084,nan
9041,48,4.0,313,0.9141105,nan
9211,49,1.0,170,0.9124955,nan
9422,50,2.0,211,0.910491,nan
9778,51,6.0,356,0.9071089999999999,nan
9935,52,0.0,157,0.9056175,nan
10095,53,1.0,160,0.9040975,5.899814823351335e-06
10229,54,0.0,134,0.9028245,0.007751150988042355
10471,55,2.0,242,0.9005255,0.015859605744481087
10785,56,4.0,314,0.8975425,0.00018051586812362075
11067,57,3.0,282,0.8948635,1.3041651982348412e-05
11285,58,2.0,218,0.8927925,4.887491377303377e-05
11635,59,5.0,350,0.8894675,5.705893272534013e-05
11771,60,0.0,136,0.8881755,0.007718527689576149
12087,61,4.0,316,0.8851735000000001,0.00021143007325008512
12232,62,0.0,145,0.883796,1.829711618483998e-05
12435,63,1.0,203,0.8818675,7.941192052385304e-06
12567,64,0.0,132,0.8806135,9.503348337602802e-06
12721,65,1.0,154,0.8791505000000001,0.007785256020724773
12923,66,2.0,202,0.8772314999999999,0.007670463994145393
13089,67,1.0,166,0.8756545,0.00787964928895235
13215,68,0.0,126,0.8744575,5.484854045789689e-05
13371,69,1.0,156,0.8729755,2.005141504923813e-05
13498,70,0.0,127,0.871769,3.0184761271812022e-05
13686,71,2.0,188,0.869983,6.007189949741587e-05
13819,72,0.0,133,0.8687195,0.007739219348877668
14032,73,2.0,213,0.866696,9.097468137042597e-06
14198,74,1.0,166,0.865119,1.3582528481492773e-05
