#{"t_start": 1774679161.6098166, "env_id": "None"}
r,l,t
0.0,6,1.349122
0.0,6,1.349796
0.0,6,1.350464
1.0,16,1.351896
0.0,6,1.354926
1.0,16,1.356491
0.0,6,1.357144
0.0,6,1.3577
0.0,6,1.360414
1.0,16,1.361786
0.0,6,1.362312
0.0,6,1.362885
1.0,16,1.366447
1.0,16,1.367788
0.0,6,1.368314
0.0,6,1.368898
0.0,6,1.371511
0.0,6,1.372127
1.0,16,1.373532
0.0,6,1.374076
0.0,6,1.376783
0.0,6,1.377327
1.0,16,1.378729
0.0,6,1.379316
0.0,6,1.381896
1.0,16,1.383364
1.0,16,1.384796
0.0,6,1.3854
0.0,6,1.388212
1.0,16,1.389606
0.0,6,1.390179
0.0,6,1.390723
2.0,26,1.39513
0.0,6,1.39569
1.0,16,1.397139
2.0,28,1.399421
0.0,6,1.402072
0.0,6,1.402643
0.0,6,1.403265
0.0,6,1.403831
1.0,16,1.407273
0.0,6,1.407879
0.0,6,1.408406
0.0,6,1.409055
1.0,16,1.412528
1.0,16,1.413945
0.0,6,1.414508
1.0,16,1.41583
0.0,6,1.418623
0.0,6,1.419143
0.0,6,1.419742
0.0,6,1.420264
0.0,6,1.422889
0.0,6,1.423507
0.0,6,1.424121
0.0,6,1.424669
0.0,6,1.427309
0.0,6,1.427854
1.0,16,1.429193
0.0,6,1.429792
0.0,6,1.432379
0.0,6,1.432977
0.0,6,1.433609
0.0,6,1.434262
0.0,6,1.437068
1.0,16,1.438467
1.0,16,1.439797
0.0,6,1.440396
0.0,6,1.442972
0.0,6,1.443649
1.0,16,1.445067
0.0,6,1.445609
0.0,6,1.448721
1.0,16,1.450183
0.0,6,1.45081
0.0,6,1.451484
1.0,16,1.45682
0.0,6,1.457451
2.0,28,1.459721
1.0,16,1.461048
0.0,6,1.463795
1.0,16,1.465176
0.0,6,1.465715
0.0,6,1.466286
1.0,16,1.469727
0.0,6,1.47025
0.0,6,1.470841
0.0,6,1.471374
0.0,6,1.474075
1.0,16,1.475538
1.0,16,1.476989
0.0,6,1.477548
1.0,16,1.481005
0.0,6,1.481621
2.0,28,1.483976
1.0,16,1.485326
0.0,6,1.488118
0.0,6,1.488751
0.0,6,1.48927
0.0,6,1.489853
0.0,6,1.49273
0.0,6,1.493783
0.0,6,1.494509
0.0,6,1.495167
0.0,6,1.497935
0.0,6,1.533045
1.0,16,1.534684
0.0,6,1.535215
0.0,6,1.538087
1.0,16,1.539499
0.0,6,1.540011
0.0,6,1.540656
2.0,28,1.545157
2.0,28,1.547427
0.0,6,1.54794
1.0,16,1.549254
0.0,6,1.551965
0.0,6,1.552564
1.0,16,1.554054
0.0,6,1.554766
0.0,6,1.559636
0.0,6,1.560266
0.0,6,1.560831
3.0,38,1.563998
0.0,6,1.566762
1.0,16,1.568122
1.0,16,1.569476
0.0,6,1.570044
3.0,38,1.575348
0.0,6,1.575972
0.0,6,1.57665
1.0,16,1.578116
1.0,16,1.581553
1.0,16,1.582897
0.0,6,1.583564
0.0,6,1.5841
1.0,16,1.588212
1.0,16,1.590532
0.0,6,1.591676
1.0,16,1.594267
0.0,6,1.597274
1.0,16,1.598732
0.0,6,1.599322
1.0,16,1.600737
1.0,16,1.604337
0.0,6,1.604877
1.0,16,1.606227
1.0,16,1.60763
0.0,6,1.610298
0.0,6,1.610841
1.0,16,1.612174
2.0,28,1.614564
0.0,6,1.617254
1.0,16,1.61866
0.0,6,1.619169
0.0,6,1.619772
1.0,16,1.62329
0.0,6,1.623869
0.0,6,1.624507
0.0,6,1.625006
0.0,6,1.627672
1.0,16,1.629038
1.0,16,1.630397
1.0,16,1.631727
0.0,6,1.634419
0.0,6,1.63502
0.0,6,1.635547
0.0,6,1.636176
1.0,16,1.639751
1.0,16,1.641368
0.0,6,1.641913
0.0,6,1.642561
0.0,6,1.645396
1.0,16,1.646839
0.0,6,1.647534
0.0,6,1.648044
0.0,6,1.650704
2.0,28,1.65302
0.0,6,1.653606
0.0,6,1.654231
1.0,16,1.657819
0.0,6,1.658447
1.0,16,1.659998
2.0,28,1.662447
1.0,16,1.666571
1.0,16,1.668016
2.0,28,1.670454
0.0,6,1.671107
1.0,16,1.677753
1.0,16,1.679125
1.0,16,1.680499
1.0,16,1.681844
0.0,6,1.684565
0.0,6,1.685161
0.0,6,1.685707
0.0,6,1.686288
0.0,6,1.689053
1.0,16,1.690493
0.0,6,1.691078
3.0,38,1.694162
1.0,16,1.697632
0.0,6,1.698224
0.0,6,1.698745
2.0,26,1.700857
3.0,38,1.706193
0.0,6,1.706812
1.0,16,1.708143
0.0,6,1.70867
0.0,6,1.711336
0.0,6,1.71189
0.0,6,1.712482
1.0,16,1.713879
0.0,6,1.716582
0.0,6,1.717239
0.0,6,1.717774
0.0,6,1.718369
