generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,1.149999976158142,1.1367080211639404,4.0,20
2,1.75,1.4095538854599,5.0,40
3,1.25,1.1641576290130615,4.0,60
4,2.0999999046325684,1.9166858196258545,7.0,80
5,0.949999988079071,0.944513201713562,3.0,100
6,1.0499999523162842,1.394538164138794,5.0,120
7,1.7999999523162842,2.2384204864501953,10.0,140
8,1.100000023841858,1.2523661851882935,4.0,160
9,1.7000000476837158,2.12998628616333,9.0,180
10,1.850000023841858,1.1367080211639404,4.0,200
11,1.399999976158142,1.5008769035339355,4.0,220
12,2.0999999046325684,1.119210124015808,5.0,240
13,1.350000023841858,1.7851728200912476,7.0,260
14,2.049999952316284,0.6863327026367188,3.0,280
15,1.9500000476837158,1.5381124019622803,5.0,300
16,1.7999999523162842,2.04167103767395,9.0,320
17,2.549999952316284,1.6693836450576782,5.0,340
18,2.0,1.7167900800704956,5.0,360
19,1.9500000476837158,2.139232635498047,9.0,380
20,2.200000047683716,1.576137900352478,5.0,400
