#{"t_start": 1774705212.2483943, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,244,4.232957
0.0,136,4.92417
0.0,124,5.548887
0.0,134,6.263723
1.0,174,7.05983
4.0,302,8.099298
2.0,208,8.804961
2.0,211,9.548362
6.0,373,10.812988
3.0,242,12.355535
0.0,132,12.811379
0.0,141,13.296879
0.0,130,13.73753
0.0,131,14.220676
2.0,230,14.996319
0.0,129,15.446815
0.0,132,15.897608
1.0,156,16.449139
0.0,139,17.028574
0.0,139,17.733089
0.0,130,18.344022
1.0,161,19.16989
2.0,244,20.58284
0.0,138,21.04607
2.0,202,21.71422
1.0,177,22.299991
1.0,184,22.924203
3.0,261,23.805248
2.0,203,24.484506
3.0,253,25.335847
1.0,160,25.905054
3.0,251,26.774774
0.0,153,27.292522
0.0,130,28.203674
1.0,177,28.784895
0.0,146,29.293609
1.0,167,30.08251
1.0,192,30.997825
1.0,188,31.939701
0.0,140,32.572562
4.0,307,33.661789
0.0,139,34.159885
0.0,133,34.61673
0.0,144,35.111346
5.0,332,36.715657
1.0,179,37.343557
0.0,145,37.828472
3.0,248,38.687545
0.0,132,39.136588
0.0,127,39.565142
1.0,173,40.139981
0.0,150,40.660993
0.0,143,41.146803
2.0,204,41.834244
1.0,157,42.405699
1.0,174,43.26964
1.0,161,44.682374
3.0,241,45.651295
5.0,334,46.773998
1.0,163,47.349586
4.0,299,48.370223
0.0,132,48.82637
0.0,139,49.286463
1.0,189,49.915113
3.0,274,50.834372
2.0,199,51.490484
2.0,217,52.689677
2.0,234,53.47302
0.0,145,53.98413
0.0,135,54.437174
0.0,133,54.879066
1.0,173,55.694857
0.0,131,56.339826
0.0,131,56.957645
0.0,132,57.683072
2.0,221,58.541492
1.0,173,59.113959
4.0,321,60.623918
0.0,125,61.034539
0.0,133,61.495475
3.0,282,62.451514
1.0,184,63.066632
3.0,281,64.059304
2.0,213,64.798619
1.0,164,65.352602
1.0,177,65.952945
1.0,181,66.599311
2.0,206,67.318482
3.0,245,69.004891
2.0,191,69.973926
1.0,183,70.926153
0.0,138,71.410576
0.0,134,71.882221
1.0,165,72.450952
0.0,130,72.89681
0.0,137,73.379974
1.0,183,74.015117
3.0,230,74.797205
3.0,256,75.682156
1.0,172,76.727362
1.0,153,77.269758
0.0,130,77.730974
0.0,133,78.214025
0.0,138,78.688831
4.0,310,79.757138
2.0,208,80.48556
0.0,139,81.034316
0.0,133,81.709742
1.0,188,82.655394
4.0,303,84.099496
0.0,146,85.119943
0.0,153,85.665506
1.0,156,86.20514
2.0,242,87.037838
0.0,135,87.501089
1.0,177,88.125559
3.0,285,89.121301
3.0,282,90.13147
3.0,270,91.087802
0.0,131,91.549997
2.0,205,92.746523
3.0,261,93.65056
1.0,188,94.570574
1.0,181,95.48295
8.0,340,97.122834
2.0,234,97.920639
2.0,233,98.728648
2.0,232,99.528182
0.0,140,100.017343
1.0,164,100.589209
1.0,172,101.670663
0.0,132,102.129514
0.0,138,102.621512
1.0,185,103.26455
2.0,203,103.965312
3.0,242,104.824703
1.0,200,105.56789
2.0,218,106.331337
0.0,155,106.948704
4.0,305,108.489473
3.0,237,110.16315
0.0,141,110.657786
2.0,214,111.430945
2.0,208,112.154726
1.0,169,112.754204
0.0,134,113.240725
2.0,234,114.076784
1.0,158,114.630319
2.0,208,115.405909
1.0,189,116.120782
3.0,258,117.047362
8.0,364,118.812415
0.0,138,119.308573
2.0,210,120.240741
4.0,300,121.777249
0.0,131,122.559424
2.0,211,123.369425
2.0,225,124.143639
1.0,158,124.763913
0.0,130,125.223701
1.0,194,125.921432
1.0,182,127.081465
0.0,135,127.583912
2.0,206,128.300584
0.0,138,128.793772
2.0,208,129.520025
0.0,138,130.015471
3.0,229,130.838798
4.0,287,131.835755
2.0,231,132.638841
3.0,254,133.935103
2.0,214,135.638968
2.0,200,136.36563
6.0,371,137.688514
0.0,128,138.154867
2.0,204,138.841519
3.0,235,139.653794
2.0,226,140.454683
5.0,340,141.632006
4.0,269,143.070722
0.0,124,143.51241
2.0,218,144.276727
2.0,204,144.988363
3.0,255,146.094566
2.0,206,147.136573
6.0,395,149.010324
4.0,302,150.066317
2.0,202,150.790513
0.0,127,151.737823
3.0,267,152.660375
2.0,213,153.409061
4.0,264,154.327078
4.0,299,155.404862
8.0,489,157.097967
1.0,169,157.690146
4.0,311,159.492881
0.0,142,160.238696
2.0,183,161.257245
3.0,258,162.260022
2.0,203,162.971139
1.0,163,163.550227
1.0,161,164.125201
1.0,187,164.798896
2.0,210,165.545921
6.0,359,166.792375
2.0,219,168.070117
6.0,365,169.335635
3.0,248,170.207737
7.0,330,171.359382
3.0,242,172.552703
4.0,278,173.985725
2.0,231,175.019177
3.0,269,176.00825
2.0,210,177.252929
0.0,132,177.703674
4.0,300,178.793093
2.0,194,179.500938
3.0,253,180.391257
0.0,135,180.873649
2.0,205,181.589707
4.0,324,182.727063
0.0,136,183.231412
3.0,262,184.731383
1.0,181,185.708662
1.0,170,186.562369
3.0,255,187.807968
1.0,175,188.434563
5.0,334,189.628877
5.0,309,190.702888
1.0,180,191.340652
0.0,133,191.817611
3.0,258,193.208799
3.0,241,194.073921
2.0,201,194.759007
1.0,163,195.352157
1.0,177,196.008934
4.0,257,196.908488
6.0,376,198.572433
3.0,261,199.950525
4.0,282,201.227465
0.0,127,202.173036
3.0,242,203.016912
2.0,185,203.675553
3.0,271,204.638726
4.0,309,293.587567
5.0,353,294.878545
0.0,129,295.372333
5.0,327,296.546952
0.0,149,297.115843
1.0,157,298.198966
6.0,400,299.623262
3.0,226,300.433213
0.0,140,300.932716
5.0,340,302.259776
1.0,166,303.179904
3.0,233,304.398331
2.0,210,305.449342
6.0,390,307.411878
5.0,356,308.699155
5.0,291,309.74871
1.0,173,310.354998
4.0,297,311.435214
5.0,319,312.573777
4.0,276,313.587135
3.0,240,314.974959
5.0,334,316.644578
2.0,200,317.710605
3.0,221,318.731071
0.0,167,319.351822
6.0,367,320.657087
3.0,240,321.561043
0.0,126,322.02409
4.0,275,323.017341
8.0,418,325.026055
4.0,286,326.061726
5.0,313,327.160806
4.0,298,328.241362
0.0,149,329.072901
2.0,198,330.115742
0.0,180,331.157288
8.0,443,333.297964
2.0,236,334.155136
5.0,309,335.275401
4.0,280,336.296117
4.0,274,337.343041
8.0,412,338.834326
7.0,330,340.538223
3.0,219,341.349203
0.0,149,342.134535
0.0,145,342.924267
4.0,304,344.53346
3.0,246,345.392461
5.0,349,346.666047
3.0,263,347.605851
6.0,343,348.880164
7.0,395,350.827534
1.0,159,351.39691
7.0,378,352.733542
3.0,238,353.59981
4.0,275,354.754638
5.0,306,356.384344
4.0,295,357.797122
4.0,307,359.366925
0.0,130,359.825199
5.0,340,361.031329
4.0,299,362.074605
3.0,234,362.910745
6.0,400,364.316987
6.0,383,366.199491
7.0,372,367.668715
3.0,227,368.831963
4.0,289,370.398818
1.0,159,370.97167
9.0,501,372.71887
8.0,358,374.015467
1.0,169,375.1408
3.0,248,376.013573
7.0,406,377.448406
3.0,213,378.232242
2.0,187,378.885511
5.0,356,380.181317
3.0,227,381.29728
11.0,410,383.920864
6.0,369,385.224055
2.0,195,385.920519
10.0,518,387.756752
3.0,239,388.651423
7.0,248,389.546197
7.0,410,391.026608
4.0,300,392.581463
9.0,363,394.159034
13.0,474,396.606221
4.0,263,397.561661
5.0,317,398.758358
3.0,239,399.622907
8.0,433,401.651962
11.0,431,403.162511
5.0,311,404.277275
8.0,381,405.658216
9.0,472,407.801598
2.0,199,409.484102
2.0,185,410.175128
7.0,435,411.735707
8.0,439,413.295535
7.0,415,414.769654
4.0,279,415.795853
6.0,394,417.693693
12.0,329,418.882548
4.0,304,420.303802
7.0,389,422.435473
4.0,309,423.557989
11.0,497,425.336138
9.0,325,427.032224
8.0,421,428.575208
11.0,487,430.403507
7.0,395,431.854983
5.0,328,433.323227
4.0,296,435.508952
7.0,398,436.980785
11.0,510,438.825577
6.0,373,440.216666
3.0,272,441.197287
7.0,410,443.168308
5.0,279,444.198881
5.0,341,445.444352
7.0,444,447.810539
4.0,281,449.085665
14.0,556,451.082921
12.0,644,453.806719
7.0,420,455.265775
5.0,295,456.288352
6.0,348,457.510554
5.0,326,458.758425
6.0,386,461.485249
6.0,384,462.833447
4.0,289,463.856758
9.0,406,465.291704
10.0,543,467.215117
6.0,392,469.117342
1.0,156,469.714891
7.0,415,471.228637
9.0,474,473.548481
5.0,294,475.05254
5.0,328,476.226117
5.0,328,477.888292
6.0,368,479.204442
2.0,228,479.993154
10.0,396,481.402464
5.0,311,482.508759
6.0,382,483.868113
8.0,383,486.109333
6.0,373,487.953862
7.0,404,489.420866
6.0,363,490.723021
4.0,245,491.586721
8.0,437,493.142872
3.0,234,494.491731
6.0,346,495.722917
5.0,350,496.988704
10.0,408,498.828638
5.0,308,500.506658
5.0,324,506.148715
5.0,313,507.773026
3.0,230,508.605039
8.0,446,510.206727
11.0,532,512.842151
4.0,274,514.153408
5.0,309,515.268306
6.0,360,517.062963
6.0,369,518.403548
6.0,343,519.67266
5.0,328,520.876096
8.0,404,522.339965
3.0,233,523.194053
8.0,435,525.919524
6.0,333,527.487766
4.0,256,528.419122
5.0,311,529.538114
5.0,344,530.803752
4.0,276,531.802587
5.0,345,533.576996
13.0,584,535.733267
5.0,345,537.086248
6.0,400,539.205508
5.0,330,540.737561
9.0,471,542.905809
7.0,371,544.2586
15.0,535,546.160762
8.0,425,547.701795
5.0,329,548.891634
5.0,347,550.939978
8.0,461,553.315617
4.0,274,554.316163
7.0,399,555.719936
4.0,282,556.721517
7.0,408,558.698703
6.0,378,560.04564
4.0,262,561.007231
4.0,269,561.953555
3.0,273,562.918779
4.0,275,564.226975
5.0,338,566.024771
5.0,348,567.920058
7.0,389,569.353632
7.0,417,570.859745
7.0,421,572.384112
7.0,394,573.832757
7.0,449,575.966503
3.0,229,577.043032
3.0,276,578.449955
4.0,243,579.673905
6.0,406,581.10647
4.0,278,582.144834
6.0,340,583.373748
5.0,310,585.02041
7.0,413,586.479336
4.0,319,587.637132
5.0,328,588.807958
7.0,348,590.376786
7.0,429,592.571491
5.0,321,594.207748
3.0,232,595.078749
7.0,378,596.440001
7.0,371,597.793859
8.0,427,599.357366
4.0,287,600.391967
8.0,455,602.621192
7.0,388,604.632522
5.0,316,605.987342
4.0,278,606.97811
7.0,357,608.237509
4.0,301,609.301678
6.0,337,610.966087
6.0,354,612.246755
6.0,359,613.507964
4.0,270,614.47532
7.0,394,616.088766
6.0,360,618.54903
9.0,475,620.176276
3.0,228,620.990984
6.0,396,622.36299
5.0,305,623.440312
4.0,265,624.355689
3.0,253,625.272146
8.0,462,627.376726
6.0,345,628.827127
3.0,214,629.981426
4.0,284,631.494123
5.0,345,632.735162
7.0,420,634.231421
4.0,286,635.757784
5.0,346,636.958432
4.0,280,637.982838
8.0,407,639.470023
10.0,523,641.325012
7.0,445,644.222917
7.0,407,645.728414
8.0,466,647.358796
10.0,414,648.84405
13.0,554,650.825625
8.0,443,652.885478
5.0,334,654.070511
7.0,404,656.12479
5.0,331,657.754024
5.0,310,658.867299
8.0,444,660.991531
8.0,406,662.436583
7.0,410,663.887652
8.0,470,665.556823
6.0,380,666.919212
4.0,295,668.864987
7.0,374,670.702364
7.0,393,672.08322
6.0,352,673.326905
14.0,510,675.110988
4.0,306,676.190761
8.0,443,678.238247
4.0,284,679.234584
8.0,449,681.041368
8.0,419,683.350616
7.0,451,685.105653
4.0,323,686.749434
12.0,506,688.549057
9.0,478,690.303833
7.0,424,691.86217
4.0,268,692.807551
3.0,258,694.523003
8.0,426,696.748665
10.0,488,698.495996
14.0,414,699.98724
9.0,495,701.793773
8.0,424,703.837899
14.0,558,705.821069
4.0,323,707.145441
6.0,369,709.040616
9.0,487,711.49842
11.0,397,712.881136
9.0,357,718.146046
16.0,682,721.063789
9.0,458,723.313309
6.0,384,725.185306
10.0,484,726.906469
7.0,414,728.394638
7.0,423,729.923113
8.0,454,732.046068
7.0,431,733.921997
7.0,419,736.172164
5.0,338,737.358007
9.0,456,738.965843
5.0,349,740.210729
8.0,442,742.318611
10.0,491,744.055754
6.0,405,745.52619
10.0,494,747.81737
8.0,430,750.305449
6.0,352,751.558464
10.0,541,753.526238
6.0,361,754.814501
6.0,357,756.102006
8.0,431,758.12954
7.0,422,759.888615
9.0,494,762.489936
7.0,408,764.009562
13.0,546,765.970955
7.0,378,767.806719
7.0,422,769.309667
9.0,480,771.000295
7.0,407,772.550603
7.0,415,775.288223
7.0,397,776.725307
8.0,445,778.314754
13.0,602,780.437254
15.0,572,782.889336
8.0,484,784.549047
9.0,480,786.522035
8.0,467,788.725043
9.0,347,789.917009
7.0,389,791.694674
7.0,396,793.054729
8.0,448,794.597851
7.0,368,795.844995
9.0,471,797.460252
9.0,500,800.125338
6.0,389,801.884559
6.0,405,803.26403
9.0,449,804.821605
9.0,318,805.923444
11.0,554,808.280753
10.0,571,810.232592
8.0,453,812.030299
15.0,562,814.653223
8.0,439,816.652704
12.0,623,818.782177
7.0,430,820.287664
10.0,470,821.88466
6.0,372,823.649336
7.0,343,825.192647
11.0,514,827.590872
9.0,456,829.163528
6.0,374,830.479465
9.0,461,832.563658
10.0,520,834.381023
9.0,479,836.045912
8.0,454,837.821641
11.0,442,840.508909
15.0,539,842.365054
7.0,406,843.774783
8.0,480,845.481923
7.0,435,846.981509
5.0,309,848.53457
8.0,412,849.97359
10.0,468,852.32968
8.0,436,854.09544
8.0,456,855.67018
11.0,541,858.00483
9.0,472,859.652224
8.0,393,861.031234
12.0,589,863.046655
14.0,530,866.283058
7.0,254,867.206035
10.0,512,869.020199
10.0,533,870.92367
9.0,488,873.187721
8.0,431,874.716073
8.0,428,876.405901
13.0,512,879.112826
10.0,504,880.908464
8.0,452,882.993012
10.0,517,884.864192
10.0,508,886.723453
7.0,380,888.073836
7.0,372,890.18802
7.0,391,892.239137
5.0,298,893.316602
10.0,550,895.308128
10.0,557,897.285213
16.0,617,899.984921
10.0,456,901.603903
8.0,433,903.697565
6.0,375,905.552178
5.0,311,907.131613
4.0,267,908.075435
9.0,473,909.73752
5.0,293,910.775934
10.0,513,912.555633
8.0,410,914.0275
10.0,509,916.769261
10.0,515,919.140947
10.0,532,924.95584
10.0,526,926.787709
