#{"t_start": 1774679582.5713909, "env_id": "None"}
r,l,t
2.0,28,1.345347
0.0,6,1.346039
1.0,16,1.347423
2.0,28,1.349869
1.0,16,1.353798
0.0,6,1.354378
0.0,6,1.355047
0.0,6,1.355605
0.0,6,1.35829
0.0,6,1.358861
0.0,6,1.359437
1.0,16,1.36079
1.0,16,1.364434
0.0,6,1.365079
0.0,6,1.365663
0.0,6,1.366221
0.0,6,1.368972
0.0,6,1.369856
0.0,6,1.370522
0.0,6,1.371088
0.0,6,1.373912
1.0,16,1.375453
0.0,6,1.376023
0.0,6,1.376589
0.0,6,1.379163
0.0,6,1.379792
0.0,6,1.380332
1.0,16,1.381864
0.0,6,1.384596
0.0,6,1.385144
0.0,6,1.38573
0.0,6,1.386242
1.0,16,1.389662
1.0,16,1.391015
0.0,6,1.391593
0.0,6,1.392122
0.0,6,1.39508
0.0,6,1.395668
0.0,6,1.396253
1.0,16,1.397596
0.0,6,1.400246
0.0,6,1.400868
1.0,16,1.40232
0.0,6,1.402852
1.0,16,1.40638
0.0,6,1.406988
0.0,6,1.407497
0.0,6,1.40809
0.0,6,1.410685
0.0,6,1.411313
0.0,6,1.411854
1.0,16,1.413232
2.0,26,1.417683
1.0,16,1.419044
1.0,16,1.420372
0.0,6,1.420901
0.0,6,1.423898
0.0,6,1.424431
3.0,38,1.427572
0.0,6,1.428124
0.0,6,1.430768
0.0,6,1.431326
0.0,6,1.431918
0.0,6,1.432427
0.0,6,1.435402
1.0,16,1.437011
0.0,6,1.437529
0.0,6,1.438109
1.0,16,1.441673
0.0,6,1.442271
0.0,6,1.442937
0.0,6,1.44351
0.0,6,1.446718
3.0,38,1.45004
0.0,6,1.450735
0.0,6,1.451307
2.0,26,1.457435
0.0,6,1.457983
1.0,16,1.459404
0.0,6,1.46004
0.0,6,1.462687
0.0,6,1.46334
4.0,48,1.467217
1.0,16,1.468563
1.0,16,1.472025
1.0,16,1.473427
0.0,6,1.473991
0.0,6,1.474654
1.0,16,1.47818
0.0,6,1.478702
0.0,6,1.47929
0.0,6,1.479839
1.0,16,1.483379
0.0,6,1.484031
0.0,6,1.484545
0.0,6,1.485134
1.0,16,1.509076
0.0,6,1.509657
0.0,6,1.510268
1.0,16,1.511644
0.0,6,1.51434
0.0,6,1.515044
0.0,6,1.515608
0.0,6,1.516187
0.0,6,1.518824
2.0,26,1.520991
0.0,6,1.521505
0.0,6,1.522095
0.0,6,1.524946
0.0,6,1.525551
1.0,16,1.526944
1.0,16,1.52826
0.0,6,1.53094
0.0,6,1.532037
0.0,6,1.532628
0.0,6,1.533311
2.0,28,1.538083
0.0,6,1.538607
0.0,6,1.539232
1.0,16,1.540709
0.0,6,1.543486
0.0,6,1.544204
1.0,16,1.545588
0.0,6,1.546134
0.0,6,1.548808
0.0,6,1.549335
0.0,6,1.549943
0.0,6,1.550551
1.0,16,1.554466
0.0,6,1.555277
0.0,6,1.555939
0.0,6,1.556574
1.0,16,1.560832
0.0,6,1.561458
0.0,6,1.562119
0.0,6,1.562699
0.0,6,1.567092
0.0,6,1.567633
0.0,6,1.568233
1.0,16,1.56956
0.0,6,1.572258
0.0,6,1.572891
0.0,6,1.573455
0.0,6,1.57409
0.0,6,1.576843
1.0,16,1.578199
0.0,6,1.578773
1.0,16,1.580115
1.0,16,1.583801
0.0,6,1.58437
1.0,16,1.585708
3.0,38,1.588814
0.0,6,1.591458
0.0,6,1.592156
1.0,16,1.593547
1.0,16,1.595102
1.0,16,1.598648
0.0,6,1.599182
0.0,6,1.599759
0.0,6,1.600318
0.0,6,1.60313
1.0,16,1.60515
0.0,6,1.606105
0.0,6,1.60719
0.0,6,1.611362
2.0,26,1.615651
1.0,16,1.618281
0.0,6,1.619261
0.0,6,1.624416
0.0,6,1.626103
0.0,6,1.627206
0.0,6,1.628209
1.0,16,1.636443
0.0,6,1.638253
0.0,6,1.639735
0.0,6,1.642045
0.0,6,1.646382
1.0,16,1.648526
0.0,6,1.64958
0.0,6,1.650525
1.0,16,1.656244
0.0,6,1.65718
1.0,16,1.659252
0.0,6,1.660059
1.0,16,1.665758
0.0,6,1.666915
0.0,6,1.667925
0.0,6,1.671403
0.0,6,1.675642
0.0,6,1.676323
0.0,6,1.676918
1.0,16,1.678316
0.0,6,1.681173
0.0,6,1.68192
0.0,6,1.682587
0.0,6,1.683595
0.0,6,1.687232
0.0,6,1.687824
1.0,16,1.689258
0.0,6,1.689898
2.0,28,1.694773
0.0,6,1.695454
1.0,16,1.698494
0.0,6,1.699136
1.0,16,1.702953
0.0,6,1.703592
0.0,6,1.704306
0.0,6,1.704901
1.0,16,1.708971
1.0,16,1.710467
0.0,6,1.711177
1.0,16,1.712719
1.0,16,1.716895
0.0,6,1.717476
0.0,6,1.718157
0.0,6,1.718733
1.0,16,1.722658
1.0,16,1.724257
1.0,16,1.725718
2.0,28,1.728477
1.0,16,1.732341
0.0,6,1.733033
0.0,6,1.733653
0.0,6,1.734332
0.0,6,1.737156
0.0,6,1.737828
0.0,6,1.73839
1.0,16,1.739923
0.0,6,1.742839
1.0,16,1.744449
1.0,16,1.745998
0.0,6,1.746614
3.0,38,1.752574
0.0,6,1.753203
0.0,6,1.753921
1.0,16,1.755648
0.0,6,1.758619
0.0,6,1.759318
0.0,6,1.76016
2.0,28,1.762548
0.0,6,1.765397
4.0,48,1.769286
0.0,6,1.769835
0.0,6,1.770473
0.0,6,1.774062
1.0,16,1.775711
0.0,6,1.776382
0.0,6,1.777013
0.0,6,1.781447
0.0,6,1.782023
0.0,6,1.78267
0.0,6,1.783273
1.0,16,1.786787
0.0,6,1.787377
0.0,6,1.787898
0.0,6,1.788471
0.0,6,1.791091
1.0,16,1.792441
0.0,6,1.793058
1.0,16,1.794494
0.0,6,1.79718
0.0,6,1.797804
0.0,6,1.798311
0.0,6,1.798906
0.0,6,1.801608
0.0,6,1.802213
0.0,6,1.802735
0.0,6,1.803356
