#{"t_start": 1774706151.0329382, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,126,4.251064
0.0,134,4.965418
0.0,140,5.487294
1.0,165,6.080371
0.0,131,6.561823
1.0,167,7.125753
2.0,211,7.914165
0.0,136,8.384701
1.0,166,8.992812
1.0,186,9.632319
0.0,135,10.083953
0.0,141,10.556089
2.0,211,12.025397
0.0,127,12.44837
0.0,137,12.925232
0.0,130,13.360166
0.0,137,13.831077
0.0,139,14.29597
1.0,173,14.888811
1.0,153,15.625131
1.0,156,16.463664
0.0,131,17.161752
0.0,139,17.873592
1.0,184,18.516524
1.0,188,19.146699
0.0,144,19.635056
1.0,175,20.712907
1.0,164,21.296757
1.0,161,21.837046
1.0,172,22.428675
1.0,159,22.955544
0.0,134,23.420862
0.0,141,23.921762
0.0,130,24.380396
1.0,175,24.971797
1.0,167,25.563891
2.0,182,26.199092
1.0,173,26.826183
2.0,207,27.534157
0.0,139,28.741243
0.0,128,29.388963
2.0,214,30.543397
0.0,125,31.157279
2.0,215,31.925216
1.0,172,32.526762
0.0,138,33.018968
3.0,217,33.773846
1.0,156,34.31399
2.0,183,34.956307
2.0,190,35.591864
0.0,125,36.05696
0.0,127,36.987256
2.0,189,37.622774
1.0,150,38.188559
0.0,133,38.651641
1.0,172,39.260446
0.0,128,39.691586
3.0,229,40.479771
0.0,133,40.924865
0.0,133,41.602558
1.0,152,42.378993
1.0,158,43.167021
0.0,131,43.903918
4.0,287,45.421792
0.0,130,45.874926
0.0,129,46.358926
1.0,154,46.902495
0.0,130,47.368227
7.0,260,48.261446
0.0,137,48.755392
0.0,128,49.198876
0.0,143,49.71971
1.0,153,50.23404
0.0,129,50.709185
0.0,138,51.192363
1.0,157,51.742898
0.0,134,52.22093
0.0,127,53.137034
1.0,160,53.700979
2.0,192,54.580895
3.0,215,55.650507
1.0,198,56.670242
0.0,129,57.325815
1.0,159,57.89288
0.0,141,58.394915
0.0,146,58.892
2.0,188,59.569241
3.0,241,60.443877
1.0,159,60.999389
0.0,132,61.95646
0.0,127,62.410506
0.0,139,62.886914
1.0,168,63.489655
1.0,174,64.079901
2.0,190,64.758352
2.0,220,65.542325
0.0,133,66.024597
3.0,240,66.879601
7.0,255,68.124892
0.0,133,68.876585
2.0,187,69.8573
2.0,186,71.203252
1.0,169,71.805724
1.0,165,72.38996
1.0,153,72.960892
0.0,131,73.418539
2.0,186,74.101129
7.0,259,75.041025
0.0,161,75.603631
4.0,268,76.613691
0.0,128,77.09597
0.0,144,77.623523
0.0,130,78.12446
