generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,0.36666667461395264,0.6149478554725647,2.0,30
2,0.2666666805744171,0.6396838426589966,2.0,60
3,0.4000000059604645,0.6746646165847778,3.0,90
4,0.30000001192092896,0.5349830985069275,2.0,120
5,0.3333333432674408,0.5466722846031189,2.0,150
6,0.4333333373069763,1.0063021183013916,5.0,180
7,0.4333333373069763,0.7279319763183594,2.0,210
8,0.5,0.6822882294654846,2.0,240
9,0.4000000059604645,0.6214554905891418,2.0,270
10,0.2666666805744171,0.4497765004634857,1.0,300
11,0.4333333373069763,0.678910493850708,3.0,330
12,0.4000000059604645,0.7239736318588257,3.0,360
13,0.3333333432674408,0.660894513130188,3.0,390
14,0.6000000238418579,0.6746646165847778,2.0,420
15,0.36666667461395264,0.7648904919624329,3.0,450
16,0.4333333373069763,0.7279319763183594,3.0,480
17,0.5,0.6297235488891602,2.0,510
18,0.13333334028720856,0.34574589133262634,1.0,540
19,0.3333333432674408,0.660894513130188,3.0,570
20,0.5,0.6297235488891602,2.0,600
21,0.13333334028720856,0.43417251110076904,2.0,630
22,0.5,0.820008397102356,3.0,660
23,0.30000001192092896,0.5959634184837341,2.0,690
24,0.30000001192092896,0.7022132873535156,3.0,720
25,0.2666666805744171,0.520830512046814,2.0,750
26,0.23333333432674408,0.5040069222450256,2.0,780
27,0.5333333611488342,0.8603662252426147,3.0,810
28,0.36666667461395264,0.5560533404350281,2.0,840
29,0.2666666805744171,0.4497765004634857,1.0,870
30,0.36666667461395264,0.5560533404350281,2.0,900
31,0.30000001192092896,0.5959634184837341,2.0,930
32,0.1666666716337204,0.37904900312423706,1.0,960
33,0.5,0.8610338568687439,4.0,990
34,0.3333333432674408,0.6064783930778503,2.0,1020
35,0.5666666626930237,0.7279320359230042,3.0,1050
36,0.5333333611488342,1.0080138444900513,5.0,1080
37,0.36666667461395264,0.6686750650405884,3.0,1110
38,0.6333333253860474,0.6149478554725647,2.0,1140
39,0.4333333373069763,0.678910493850708,2.0,1170
40,0.2666666805744171,0.4497765004634857,1.0,1200
41,0.4333333373069763,0.626062273979187,2.0,1230
42,0.4000000059604645,0.6214554905891418,2.0,1260
43,0.36666667461395264,0.4901324510574341,1.0,1290
44,0.5666666626930237,0.9714310765266418,4.0,1320
45,0.5,0.7310832738876343,3.0,1350
46,0.30000001192092896,0.7497125864028931,3.0,1380
47,0.4333333373069763,0.5683207511901855,2.0,1410
48,0.3333333432674408,0.5466722846031189,2.0,1440
49,0.2666666805744171,0.4497765004634857,1.0,1470
50,0.30000001192092896,0.4660916030406952,1.0,1500
51,0.5333333611488342,0.9371024966239929,4.0,1530
52,0.4000000059604645,0.6214554905891418,2.0,1560
53,0.4000000059604645,0.6746646761894226,2.0,1590
54,0.4333333373069763,0.8583598732948303,4.0,1620
55,0.23333333432674408,0.4301830530166626,1.0,1650
56,0.36666667461395264,0.6149478554725647,2.0,1680
57,0.20000000298023224,0.48423418402671814,2.0,1710
58,0.4000000059604645,0.7239736914634705,3.0,1740
59,0.13333334028720856,0.34574589133262634,1.0,1770
60,0.46666666865348816,0.8193071484565735,3.0,1800
61,0.36666667461395264,0.5560533404350281,2.0,1830
62,0.4000000059604645,0.5632418394088745,2.0,1860
63,0.6000000238418579,0.8944271802902222,4.0,1890
64,0.1666666716337204,0.37904900312423706,1.0,1920
65,0.4000000059604645,0.6746646761894226,2.0,1950
66,0.4333333373069763,0.7738544344902039,3.0,1980
67,0.5333333611488342,0.86036616563797,4.0,2010
68,0.36666667461395264,0.5560533404350281,2.0,2040
69,0.4333333373069763,0.678910493850708,2.0,2070
70,0.2666666805744171,0.520830512046814,2.0,2100
71,0.30000001192092896,0.4660915732383728,1.0,2130
72,0.6000000238418579,0.6746646165847778,3.0,2160
73,0.23333333432674408,0.5040069222450256,2.0,2190
74,0.30000001192092896,0.6512587666511536,3.0,2220
75,0.30000001192092896,0.4660916030406952,1.0,2250
76,0.3333333432674408,0.660894513130188,3.0,2280
77,0.5,0.6822882294654846,2.0,2310
78,0.30000001192092896,0.5959634780883789,2.0,2340
79,0.4000000059604645,0.7701320648193359,3.0,2370
80,0.20000000298023224,0.4068380892276764,1.0,2400
81,0.30000001192092896,0.6512587070465088,3.0,2430
82,0.46666666865348816,0.6814454197883606,2.0,2460
83,0.36666667461395264,0.7183953523635864,3.0,2490
84,0.1666666716337204,0.37904900312423706,1.0,2520
85,0.30000001192092896,0.5959634780883789,2.0,2550
86,0.4333333373069763,0.626062273979187,2.0,2580
87,0.30000001192092896,0.5349830985069275,2.0,2610
88,0.5333333611488342,0.6814454793930054,2.0,2640
89,0.2666666805744171,0.5208304524421692,2.0,2670
90,0.36666667461395264,0.6686751246452332,2.0,2700
91,0.23333333432674408,0.5040069222450256,2.0,2730
92,0.23333333432674408,0.9352608919143677,5.0,2760
93,0.4000000059604645,0.6214554905891418,2.0,2790
94,0.23333333432674408,0.4301830232143402,1.0,2820
95,0.23333333432674408,0.7738544344902039,4.0,2850
96,0.46666666865348816,0.5713465213775635,2.0,2880
97,0.5,0.820008397102356,3.0,2910
98,0.3333333432674408,0.6064783930778503,2.0,2940
99,0.4000000059604645,0.5632418394088745,2.0,2970
100,0.3333333432674408,0.47946327924728394,1.0,3000
101,0.30000001192092896,0.5349830985069275,2.0,3030
102,0.36666667461395264,0.7183954119682312,3.0,3060
103,0.1666666716337204,0.4611330032348633,2.0,3090
104,0.3333333432674408,0.7580980658531189,3.0,3120
105,0.36666667461395264,0.7183953523635864,3.0,3150
106,0.30000001192092896,0.5959634184837341,2.0,3180
107,0.30000001192092896,0.5959634184837341,2.0,3210
108,0.4000000059604645,0.6214554905891418,2.0,3240
109,0.36666667461395264,0.7183953523635864,3.0,3270
110,0.23333333432674408,0.4301830232143402,1.0,3300
111,0.5,0.7768193483352661,2.0,3330
112,0.23333333432674408,0.4301830232143402,1.0,3360
113,0.5666666626930237,0.678910493850708,2.0,3390
114,0.3333333432674408,0.5466722846031189,2.0,3420
115,0.36666667461395264,0.6149478554725647,2.0,3450
116,0.46666666865348816,0.5713464617729187,2.0,3480
117,0.5,0.7768193483352661,2.0,3510
118,0.4000000059604645,0.6214554905891418,2.0,3540
119,0.5333333611488342,0.730296790599823,2.0,3570
120,0.20000000298023224,0.4068380892276764,1.0,3600
121,0.3333333432674408,0.6064783334732056,2.0,3630
