global_step,update,mean_train_return,policy_loss,value_loss,entropy,total_loss
2048,1,0.5,-0.0013053948932792991,0.19643866503611207,1.0968897193670273,0.08594504039501771
4096,2,0.35,-0.004971146117895842,0.249891163315624,1.0959020182490349,0.10901541518978775
6144,3,0.4,-0.0008004030678421259,0.23929916368797421,1.0904592648148537,0.10794458762393333
8192,4,0.3,-0.00421540331444703,0.21320507628843188,1.0879935659468174,0.09150719933677465
10240,5,0.5,-0.003630730789154768,0.20567829627543688,1.0794803313910961,0.08841361472150311
12288,6,0.6,-0.0054780169448349625,0.2306204535998404,1.0573613904416561,0.09925859564100392
14336,7,0.5,-0.0047698683047201484,0.23739264952018857,1.0244542211294174,0.10368191471206956
16384,8,0.35,-0.004769516235683113,0.18171647610142827,0.9587038122117519,0.07650168382679112
18432,9,0.6,-0.0032027672859840095,0.22857939638197422,0.9695550389587879,0.10139138050726615
20480,10,0.65,-0.009511627242318355,0.18988444609567523,0.9174624923616648,0.0762559714494273
22528,11,0.95,-0.010627911222400144,0.2498798631131649,0.8063873220235109,0.10624814790207893
24576,12,1.0,-0.006855054962215945,0.25202233670279384,0.816066138446331,0.11099545116303489
26624,13,1.2,-0.007073901797411963,0.2948065586388111,0.7718380093574524,0.13261099759256467
28672,14,1.25,-0.0071853450499475,0.30114098731428385,0.7815836779773235,0.13556931167840958
30720,15,1.55,-0.008411888964474201,0.35074299294501543,0.7426690217107534,0.15953291801270097
32768,16,1.15,-0.005833563220221549,0.40856266021728516,0.681575033813715,0.19163201516494155
34816,17,1.4,-0.004698020115029067,0.3860326884314418,0.6628909688442945,0.18168941361363977
36864,18,1.45,-0.003975161642301828,0.3428667252883315,0.6560130789875984,0.16089807031676173
38912,19,1.2,-0.007786267844494432,0.37402657978236675,0.6503917500376701,0.172723104711622
40960,20,1.45,-0.006310626107733697,0.4113934012129903,0.6353798005729914,0.1930322772823274
43008,21,2.45,-0.003652682265965268,0.3250933289527893,0.6308877747505903,0.15258510486455634
45056,22,1.9,-0.003697387990541756,0.35367709398269653,0.614464333280921,0.1669965151231736
47104,23,1.7,-0.002789214311633259,0.3098824368789792,0.5767365954816341,0.14638463585288264
49152,24,2.05,-0.005392983177443966,0.3190980991348624,0.539747217670083,0.14875859351013787
51200,25,2.65,-0.0019654444186016917,0.24968563299626112,0.550240769982338,0.11737496548448689
53248,26,2.3,-0.002582394052296877,0.2709834584966302,0.5291318017989397,0.1276180165586993
55296,27,3.05,-0.00415107021399308,0.2167109507136047,0.5001290729269385,0.09920311497990042
57344,28,2.4,-0.0035345739452168345,0.20062342286109924,0.4993512686342001,0.09178362390957773
59392,29,2.6,-0.0012504769256338477,0.294598450884223,0.5019722199067473,0.1410290269413963
61440,30,2.3,-0.003124221198959276,0.2224139990285039,0.49660798348486423,0.10311669780639932
63488,31,2.55,-0.003901714226230979,0.21383896796032786,0.4458367144688964,0.09855940371926408
65536,32,3.0,-0.0005656106513924897,0.2104018065147102,0.4413178274407983,0.10022211290197447
67584,33,2.75,-0.001819681201595813,0.1842319588176906,0.4196032052859664,0.08610026673704851
69632,34,3.0,-0.0028432162216631696,0.19441783288493752,0.3709876323118806,0.09065582352195634
71680,35,3.1,-0.0015308692236430943,0.14697493240237236,0.38843173161149025,0.06807227898389101
73728,36,3.15,-0.0008560066198697314,0.18792954087257385,0.3894629254937172,0.08921413492498687
75776,37,3.0,8.919634274207056e-05,0.24875517468899488,0.3871549256145954,0.12059523540665396
77824,38,3.1,-0.001339287031441927,0.22180167771875858,0.38428907096385956,0.10571866086684167
79872,39,3.1,-0.0017657520656939596,0.1927730878815055,0.3388252593576908,0.09123253915458918
81920,40,2.65,-0.0016123921668622643,0.1198770182672888,0.3191388454288244,0.055134729118435644
83968,41,3.0,-0.0021893048979109153,0.22499630227684975,0.32096876110881567,0.10709915877669118
86016,42,3.0,-0.0013867029338143766,0.20808009849861264,0.30496476497501135,0.09960369861073559
88064,43,3.05,-0.003055811539525166,0.17138417717069387,0.345342006534338,0.07918285721098073
90112,44,3.65,-0.0024441934510832652,0.1897140685468912,0.3245285414159298,0.08916755515383556
92160,45,3.75,-0.0008480414398945868,0.21211585635319352,0.33400395419448614,0.10186984727624804
94208,46,3.0,-0.003155002777930349,0.2679914706386626,0.3197711957618594,0.12764302163850516
96256,47,3.35,-0.0035816972667817026,0.19827070273458958,0.3242071261629462,0.09231158293550834
98304,48,2.95,-0.0032611254137009382,0.19063848676159978,0.34580659959465265,0.08860005294991424
100352,49,3.6,-0.000999555632006377,0.1559302289970219,0.3127513313665986,0.07383804488927126
102400,50,3.25,0.0002512445207685232,0.16201618174090981,0.31417972687631845,0.07811753812711686
104448,51,3.0,-0.00037505550426431,0.28401471115648746,0.32538370694965124,0.1383784639183432
106496,52,3.0,-0.0007848814129829407,0.23831932432949543,0.3132887165993452,0.11524189403280616
108544,53,3.0,-0.002224952506367117,0.1550165293738246,0.31080098263919353,0.07217530158231966
110592,54,3.3,-0.0033027410972863436,0.16201611841097474,0.2753951456397772,0.07495136704528704
112640,55,3.05,-0.002065997221507132,0.13435495970770717,0.2953268578276038,0.06215821373916697
114688,56,3.05,-0.0021085502521600574,0.12256992957554758,0.28209819458425045,0.05635543179232627
116736,57,2.85,-0.0005975386884529144,0.14946831087581813,0.2674071239307523,0.07146254534745822
118784,58,3.45,-0.0032372100395150483,0.19157190760597587,0.2756588882766664,0.0897921533396584
120832,59,2.95,-0.004808839003089815,0.24627682799473405,0.25561736850067973,0.11577340203803033
122880,60,2.6,-0.004080624406924471,0.24194511817768216,0.28530374355614185,0.11403889954090118
124928,61,3.4,-0.0017710172978695482,0.29653811547905207,0.28901477437466383,0.14360789279453456
126976,62,3.2,-0.0025605445844121277,0.2868118085898459,0.28879980091005564,0.13795736225438304
129024,63,3.3,-0.002321287931408733,0.25273045944049954,0.2739505129866302,0.12130443780915812
131072,64,3.55,-0.001416563434759155,0.2836547982878983,0.2655027452856302,0.13775580810033716
133120,65,2.75,-0.0033373633050359786,0.30971664423123,0.2691370169632137,0.14882958901580423
135168,66,3.15,-0.002811319660395384,0.250986494589597,0.266922477632761,0.12001270378823392
137216,67,3.45,-0.0015779963287059218,0.2687325580045581,0.24258653121069074,0.13036241768713808
139264,68,3.75,-0.0033342218957841396,0.21819917811080813,0.2388397939503193,0.1033769682107959
141312,69,3.7,-0.001358657144010067,0.22747733211144805,0.2405798453837633,0.10997421157662757
143360,70,3.35,-0.0029093160264892504,0.20755047583952546,0.2515786443836987,0.09835013653355418
145408,71,4.2,-0.0008368395501747727,0.1988967671059072,0.24076693365350366,0.09620387395261787
147456,72,4.6,-0.0022368327772710472,0.1959004234522581,0.231841207947582,0.09339496770553524
149504,73,3.85,-0.001820671750465408,0.19142423989251256,0.23491860693320632,0.09154226153623313
151552,74,3.65,-0.002026765636401251,0.23049916699528694,0.2434990289621055,0.11078783005359583
153600,75,4.0,-0.0006017078994773328,0.2259524711407721,0.22751756478101015,0.11009935164474882
155648,76,4.15,-0.0020074506173841655,0.19021474849432707,0.21943821525201201,0.09090554247086402
157696,77,4.1,-0.0022273342474363744,0.1995086120441556,0.2131807142868638,0.09539516440418083
159744,78,4.7,-0.0011420241207815707,0.22164376731961966,0.21879436541348696,0.10749191683134995
