global_step,episode,episode_return,episode_length,epsilon,loss
16,1,1.0,16,0.999848,nan
22,2,0.0,6,0.999791,nan
50,3,2.0,28,0.999525,nan
56,4,0.0,6,0.999468,nan
62,5,0.0,6,0.999411,nan
68,6,0.0,6,0.999354,nan
74,7,0.0,6,0.999297,nan
80,8,0.0,6,0.99924,nan
86,9,0.0,6,0.999183,nan
92,10,0.0,6,0.999126,nan
98,11,0.0,6,0.999069,nan
104,12,0.0,6,0.999012,nan
110,13,0.0,6,0.998955,nan
116,14,0.0,6,0.998898,nan
132,15,1.0,16,0.998746,nan
138,16,0.0,6,0.998689,nan
144,17,0.0,6,0.998632,nan
150,18,0.0,6,0.998575,nan
156,19,0.0,6,0.998518,nan
172,20,1.0,16,0.998366,nan
178,21,0.0,6,0.998309,nan
184,22,0.0,6,0.998252,nan
190,23,0.0,6,0.998195,nan
196,24,0.0,6,0.998138,nan
222,25,2.0,26,0.997891,nan
228,26,0.0,6,0.997834,nan
234,27,0.0,6,0.997777,nan
240,28,0.0,6,0.99772,nan
246,29,0.0,6,0.997663,nan
262,30,1.0,16,0.997511,nan
278,31,1.0,16,0.997359,nan
294,32,1.0,16,0.997207,nan
310,33,1.0,16,0.997055,nan
326,34,1.0,16,0.996903,nan
342,35,1.0,16,0.996751,nan
348,36,0.0,6,0.996694,nan
364,37,1.0,16,0.996542,nan
370,38,0.0,6,0.996485,nan
376,39,0.0,6,0.996428,nan
392,40,1.0,16,0.996276,nan
398,41,0.0,6,0.996219,nan
414,42,1.0,16,0.996067,nan
420,43,0.0,6,0.99601,nan
426,44,0.0,6,0.995953,nan
432,45,0.0,6,0.995896,nan
438,46,0.0,6,0.995839,nan
444,47,0.0,6,0.995782,nan
450,48,0.0,6,0.995725,nan
466,49,1.0,16,0.995573,nan
482,50,1.0,16,0.995421,nan
488,51,0.0,6,0.995364,nan
494,52,0.0,6,0.995307,nan
500,53,0.0,6,0.99525,nan
506,54,0.0,6,0.995193,nan
512,55,0.0,6,0.995136,nan
518,56,0.0,6,0.995079,nan
524,57,0.0,6,0.995022,nan
530,58,0.0,6,0.994965,nan
568,59,3.0,38,0.994604,nan
584,60,1.0,16,0.994452,nan
590,61,0.0,6,0.994395,nan
596,62,0.0,6,0.994338,nan
602,63,0.0,6,0.994281,nan
628,64,2.0,26,0.994034,nan
634,65,0.0,6,0.993977,nan
640,66,0.0,6,0.99392,nan
646,67,0.0,6,0.993863,nan
662,68,1.0,16,0.993711,nan
668,69,0.0,6,0.993654,nan
674,70,0.0,6,0.993597,nan
690,71,1.0,16,0.993445,nan
696,72,0.0,6,0.993388,nan
702,73,0.0,6,0.993331,nan
708,74,0.0,6,0.993274,nan
714,75,0.0,6,0.993217,nan
730,76,1.0,16,0.993065,nan
736,77,0.0,6,0.993008,nan
742,78,0.0,6,0.992951,nan
748,79,0.0,6,0.992894,nan
774,80,2.0,26,0.992647,nan
780,81,0.0,6,0.99259,nan
786,82,0.0,6,0.992533,nan
792,83,0.0,6,0.992476,nan
808,84,1.0,16,0.992324,nan
814,85,0.0,6,0.992267,nan
830,86,1.0,16,0.992115,nan
836,87,0.0,6,0.992058,nan
842,88,0.0,6,0.992001,nan
848,89,0.0,6,0.991944,nan
854,90,0.0,6,0.991887,nan
860,91,0.0,6,0.99183,nan
888,92,2.0,28,0.991564,nan
894,93,0.0,6,0.991507,nan
900,94,0.0,6,0.99145,nan
906,95,0.0,6,0.991393,nan
912,96,0.0,6,0.991336,nan
928,97,1.0,16,0.991184,nan
944,98,1.0,16,0.991032,nan
950,99,0.0,6,0.990975,nan
956,100,0.0,6,0.990918,nan
962,101,0.0,6,0.990861,nan
988,102,2.0,26,0.990614,nan
994,103,0.0,6,0.990557,nan
1020,104,2.0,26,0.99031,nan
1036,105,1.0,16,0.990158,nan
1042,106,0.0,6,0.990101,nan
1048,107,0.0,6,0.990044,nan
1054,108,0.0,6,0.989987,nan
1070,109,1.0,16,0.989835,nan
1076,110,0.0,6,0.989778,nan
1082,111,0.0,6,0.989721,nan
1098,112,1.0,16,0.989569,nan
1104,113,0.0,6,0.989512,nan
1110,114,0.0,6,0.989455,nan
1116,115,0.0,6,0.989398,nan
1122,116,0.0,6,0.989341,nan
1138,117,1.0,16,0.989189,nan
1144,118,0.0,6,0.989132,nan
1150,119,0.0,6,0.989075,nan
1156,120,0.0,6,0.989018,nan
1162,121,0.0,6,0.988961,nan
1168,122,0.0,6,0.988904,nan
1174,123,0.0,6,0.988847,nan
1180,124,0.0,6,0.98879,nan
1196,125,1.0,16,0.988638,nan
1212,126,1.0,16,0.988486,nan
1218,127,0.0,6,0.988429,nan
1224,128,0.0,6,0.988372,nan
1240,129,1.0,16,0.98822,nan
1256,130,1.0,16,0.988068,nan
