#{"t_start": 1774686692.1733446, "env_id": "None"}
r,l,t
0.0,6,1.783484
0.0,6,1.793815
0.0,6,1.803879
0.0,6,1.813878
0.0,6,1.823844
1.0,16,1.854348
0.0,6,1.86985
0.0,6,1.88625
0.0,6,1.903553
0.0,6,1.917597
0.0,6,1.929151
0.0,6,1.940995
1.0,16,1.971908
0.0,6,1.982433
0.0,6,1.993202
0.0,6,2.003995
1.0,16,2.032048
0.0,6,2.043114
0.0,6,2.056158
1.0,16,2.084594
0.0,6,2.09481
0.0,6,2.105008
2.0,28,2.168188
0.0,6,2.184975
1.0,16,2.216103
0.0,6,2.22588
1.0,16,2.252149
0.0,6,2.264837
0.0,6,2.276011
1.0,16,2.303851
0.0,6,2.314441
0.0,6,2.324889
0.0,6,2.335626
0.0,6,2.34587
2.0,28,2.402697
0.0,6,2.413022
0.0,6,2.42372
1.0,16,2.453266
0.0,6,2.465656
0.0,6,2.476099
0.0,6,2.486138
1.0,16,2.513198
2.0,28,2.56885
1.0,16,2.60602
0.0,6,2.617533
1.0,16,2.644305
0.0,6,2.654605
0.0,6,2.664721
0.0,6,2.677275
0.0,6,2.687639
0.0,6,2.697835
0.0,6,2.707814
0.0,6,2.7181
1.0,16,2.745617
0.0,6,2.755787
0.0,6,2.765998
0.0,6,2.782315
1.0,16,2.814153
0.0,6,2.824166
0.0,6,2.834363
0.0,6,2.84436
1.0,16,2.870723
1.0,16,2.899737
1.0,16,2.940804
1.0,16,2.970487
0.0,6,2.983424
2.0,26,3.027988
1.0,16,3.055564
0.0,6,3.065716
0.0,6,3.086038
0.0,6,3.099958
2.0,28,3.151278
0.0,6,3.162081
0.0,6,3.17285
1.0,16,3.20343
0.0,6,3.213968
0.0,6,3.224137
3.0,38,3.295357
0.0,6,3.306695
0.0,6,3.318119
0.0,6,3.328771
1.0,16,3.355692
1.0,16,3.389198
0.0,6,3.402207
0.0,6,3.414235
0.0,6,3.424403
1.0,16,3.453011
0.0,6,3.463986
0.0,6,3.475683
0.0,6,3.486913
0.0,6,3.500786
1.0,16,3.529513
1.0,16,3.561253
0.0,6,3.571878
0.0,6,3.583859
0.0,6,3.596953
2.0,28,3.647269
0.0,6,3.658555
0.0,6,3.669598
0.0,6,3.683959
0.0,6,3.696648
0.0,6,3.712467
0.0,6,3.723089
1.0,16,3.751195
0.0,6,3.764633
0.0,6,3.77627
0.0,6,3.786669
0.0,6,3.797162
0.0,6,3.809774
0.0,6,3.820198
0.0,6,3.830967
1.0,16,3.858809
0.0,6,3.868993
0.0,6,3.88198
0.0,6,3.896302
0.0,6,3.914316
0.0,6,3.925277
0.0,6,3.937376
0.0,6,3.954191
1.0,16,3.988936
0.0,6,3.999071
2.0,28,4.048226
0.0,6,4.058362
1.0,16,4.086784
3.0,38,4.153564
0.0,6,4.163736
0.0,6,4.173973
1.0,16,4.216343
0.0,6,4.226584
0.0,6,4.236664
0.0,6,4.246735
0.0,6,4.256967
0.0,6,4.267162
0.0,6,4.277335
1.0,16,4.304607
0.0,6,4.316947
0.0,6,4.327229
1.0,16,4.371354
0.0,6,4.387564
1.0,16,4.431699
0.0,6,4.447454
0.0,6,4.461975
0.0,6,4.474762
0.0,6,4.497017
0.0,6,4.511925
0.0,6,4.529115
0.0,6,4.544549
0.0,6,4.561407
0.0,6,4.575958
0.0,6,4.591699
0.0,6,4.607664
0.0,6,4.620731
0.0,6,4.637028
0.0,6,4.650167
0.0,6,4.663907
0.0,6,4.679364
0.0,6,4.692969
0.0,6,4.706586
0.0,6,4.71955
0.0,6,4.735918
0.0,6,4.749346
3.0,38,4.845948
1.0,16,4.881281
1.0,16,4.91644
1.0,16,4.954878
1.0,16,4.999596
0.0,6,5.018981
3.0,38,5.121238
2.0,28,5.183856
1.0,16,5.220655
0.0,6,5.233429
0.0,6,5.247899
0.0,6,5.263395
1.0,16,5.307132
0.0,6,5.322127
0.0,6,5.336922
1.0,16,5.376707
0.0,6,5.390654
0.0,6,5.404088
0.0,6,5.417279
0.0,6,5.430043
1.0,16,5.464031
0.0,6,5.479608
0.0,6,5.496166
0.0,6,5.510858
0.0,6,5.524266
3.0,38,5.61642
0.0,6,5.629797
0.0,6,5.643476
0.0,6,5.656868
0.0,6,5.670167
1.0,16,5.710522
0.0,6,5.72396
1.0,16,5.759708
0.0,6,5.773139
0.0,6,5.790724
0.0,6,5.812262
0.0,6,5.831736
1.0,16,5.87299
0.0,6,5.886365
0.0,6,5.902715
1.0,16,5.938513
0.0,6,5.951578
1.0,16,5.986415
0.0,6,6.00691
0.0,6,6.020803
0.0,6,6.035196
0.0,6,6.052208
0.0,6,6.070887
0.0,6,6.092271
0.0,6,6.763021
0.0,6,6.779412
0.0,6,6.795161
0.0,6,6.81345
0.0,6,6.829098
0.0,6,6.849788
2.0,26,6.921215
0.0,6,6.932955
0.0,6,6.943881
1.0,16,6.975555
1.0,16,7.008398
0.0,6,7.021738
0.0,6,7.034734
2.0,26,7.083216
0.0,6,7.093518
1.0,16,7.12254
0.0,6,7.132948
0.0,6,7.14332
1.0,16,7.190223
1.0,16,7.229213
