global_step,episode,episode_return,episode_length,epsilon,loss
6,1,0.0,6,0.999943,nan
12,2,0.0,6,0.999886,nan
18,3,0.0,6,0.999829,nan
24,4,0.0,6,0.999772,nan
30,5,0.0,6,0.999715,nan
46,6,1.0,16,0.999563,nan
62,7,1.0,16,0.999411,nan
68,8,0.0,6,0.999354,nan
74,9,0.0,6,0.999297,nan
80,10,0.0,6,0.99924,nan
108,11,2.0,28,0.998974,nan
114,12,0.0,6,0.998917,nan
120,13,0.0,6,0.99886,nan
126,14,0.0,6,0.998803,nan
132,15,0.0,6,0.998746,nan
148,16,1.0,16,0.998594,nan
164,17,1.0,16,0.998442,nan
170,18,0.0,6,0.998385,nan
176,19,0.0,6,0.998328,nan
192,20,1.0,16,0.998176,nan
198,21,0.0,6,0.998119,nan
204,22,0.0,6,0.998062,nan
210,23,0.0,6,0.998005,nan
226,24,1.0,16,0.997853,nan
232,25,0.0,6,0.997796,nan
248,26,1.0,16,0.997644,nan
254,27,0.0,6,0.997587,nan
260,28,0.0,6,0.99753,nan
276,29,1.0,16,0.997378,nan
292,30,1.0,16,0.997226,nan
308,31,1.0,16,0.997074,nan
314,32,0.0,6,0.997017,nan
330,33,1.0,16,0.996865,nan
346,34,1.0,16,0.996713,nan
352,35,0.0,6,0.996656,nan
358,36,0.0,6,0.996599,nan
364,37,0.0,6,0.996542,nan
380,38,1.0,16,0.99639,nan
386,39,0.0,6,0.996333,nan
402,40,1.0,16,0.996181,nan
408,41,0.0,6,0.996124,nan
424,42,1.0,16,0.995972,nan
440,43,1.0,16,0.99582,nan
446,44,0.0,6,0.995763,nan
452,45,0.0,6,0.995706,nan
468,46,1.0,16,0.995554,nan
474,47,0.0,6,0.995497,nan
480,48,0.0,6,0.99544,nan
486,49,0.0,6,0.995383,nan
502,50,1.0,16,0.995231,nan
508,51,0.0,6,0.995174,nan
514,52,0.0,6,0.995117,nan
520,53,0.0,6,0.9950600000000001,nan
526,54,0.0,6,0.995003,nan
532,55,0.0,6,0.994946,nan
538,56,0.0,6,0.994889,nan
544,57,0.0,6,0.994832,nan
550,58,0.0,6,0.994775,nan
556,59,0.0,6,0.994718,nan
572,60,1.0,16,0.994566,nan
578,61,0.0,6,0.994509,nan
628,62,4.0,50,0.994034,nan
644,63,1.0,16,0.993882,nan
660,64,1.0,16,0.99373,nan
666,65,0.0,6,0.993673,nan
672,66,0.0,6,0.993616,nan
700,67,2.0,28,0.99335,nan
706,68,0.0,6,0.993293,nan
712,69,0.0,6,0.993236,nan
718,70,0.0,6,0.993179,nan
724,71,0.0,6,0.993122,nan
730,72,0.0,6,0.993065,nan
736,73,0.0,6,0.993008,nan
742,74,0.0,6,0.992951,nan
770,75,2.0,28,0.992685,nan
786,76,1.0,16,0.992533,nan
792,77,0.0,6,0.992476,nan
820,78,2.0,28,0.99221,nan
826,79,0.0,6,0.992153,nan
832,80,0.0,6,0.992096,nan
838,81,0.0,6,0.992039,nan
864,82,2.0,26,0.991792,nan
870,83,0.0,6,0.991735,nan
876,84,0.0,6,0.991678,nan
882,85,0.0,6,0.991621,nan
898,86,1.0,16,0.991469,nan
904,87,0.0,6,0.991412,nan
910,88,0.0,6,0.991355,nan
926,89,1.0,16,0.9912030000000001,nan
932,90,0.0,6,0.991146,nan
948,91,1.0,16,0.990994,nan
954,92,0.0,6,0.990937,nan
970,93,1.0,16,0.990785,nan
986,94,1.0,16,0.990633,nan
1002,95,1.0,16,0.990481,nan
1008,96,0.0,6,0.990424,nan
1014,97,0.0,6,0.990367,nan
1030,98,1.0,16,0.990215,nan
1036,99,0.0,6,0.990158,nan
1052,100,1.0,16,0.990006,nan
1058,101,0.0,6,0.989949,nan
1064,102,0.0,6,0.989892,nan
1080,103,1.0,16,0.98974,nan
1086,104,0.0,6,0.989683,nan
1102,105,1.0,16,0.989531,nan
1118,106,1.0,16,0.989379,nan
1124,107,0.0,6,0.989322,nan
1130,108,0.0,6,0.989265,nan
1136,109,0.0,6,0.989208,nan
1142,110,0.0,6,0.989151,nan
1168,111,2.0,26,0.988904,nan
1184,112,1.0,16,0.988752,nan
1190,113,0.0,6,0.988695,nan
1196,114,0.0,6,0.988638,nan
1202,115,0.0,6,0.988581,nan
1208,116,0.0,6,0.988524,nan
1214,117,0.0,6,0.988467,nan
1220,118,0.0,6,0.98841,nan
1226,119,0.0,6,0.988353,nan
1232,120,0.0,6,0.988296,nan
1238,121,0.0,6,0.988239,nan
1244,122,0.0,6,0.988182,nan
1250,123,0.0,6,0.988125,nan
1256,124,0.0,6,0.988068,nan
1262,125,0.0,6,0.988011,nan
1268,126,0.0,6,0.987954,nan
1274,127,0.0,6,0.987897,nan
1290,128,1.0,16,0.987745,nan
1296,129,0.0,6,0.987688,nan
1302,130,0.0,6,0.987631,nan
1330,131,2.0,28,0.987365,nan
1358,132,2.0,28,0.987099,nan
1396,133,3.0,38,0.986738,nan
1412,134,1.0,16,0.986586,nan
1418,135,0.0,6,0.986529,nan
1434,136,1.0,16,0.986377,nan
1450,137,1.0,16,0.986225,nan
1478,138,2.0,28,0.985959,nan
1484,139,0.0,6,0.9859020000000001,nan
1490,140,0.0,6,0.985845,nan
1496,141,0.0,6,0.985788,nan
1502,142,0.0,6,0.985731,nan
1518,143,1.0,16,0.985579,nan
1534,144,1.0,16,0.985427,nan
1540,145,0.0,6,0.98537,nan
1546,146,0.0,6,0.985313,nan
1552,147,0.0,6,0.985256,nan
1568,148,1.0,16,0.985104,nan
1574,149,0.0,6,0.985047,nan
1590,150,1.0,16,0.984895,nan
1596,151,0.0,6,0.984838,nan
1622,152,2.0,26,0.984591,nan
1638,153,1.0,16,0.984439,nan
1644,154,0.0,6,0.984382,nan
1650,155,0.0,6,0.984325,nan
1656,156,0.0,6,0.984268,nan
1672,157,1.0,16,0.984116,nan
1678,158,0.0,6,0.984059,nan
1694,159,1.0,16,0.983907,nan
1720,160,2.0,26,0.98366,nan
1726,161,0.0,6,0.983603,nan
1732,162,0.0,6,0.983546,nan
1748,163,1.0,16,0.983394,nan
1754,164,0.0,6,0.983337,nan
1770,165,1.0,16,0.983185,nan
1786,166,1.0,16,0.983033,nan
1792,167,0.0,6,0.982976,nan
1798,168,0.0,6,0.982919,nan
1804,169,0.0,6,0.982862,nan
1810,170,0.0,6,0.982805,nan
1816,171,0.0,6,0.982748,nan
1822,172,0.0,6,0.982691,nan
1828,173,0.0,6,0.982634,nan
1834,174,0.0,6,0.982577,nan
1840,175,0.0,6,0.98252,nan
1846,176,0.0,6,0.982463,nan
1852,177,0.0,6,0.982406,nan
1858,178,0.0,6,0.982349,nan
1864,179,0.0,6,0.982292,nan
1880,180,1.0,16,0.98214,nan
1896,181,1.0,16,0.981988,nan
1902,182,0.0,6,0.981931,nan
1908,183,0.0,6,0.981874,nan
1914,184,0.0,6,0.981817,nan
1920,185,0.0,6,0.98176,nan
1926,186,0.0,6,0.981703,nan
1932,187,0.0,6,0.981646,nan
1948,188,1.0,16,0.981494,nan
1954,189,0.0,6,0.981437,nan
1970,190,1.0,16,0.981285,nan
1976,191,0.0,6,0.981228,nan
1982,192,0.0,6,0.981171,nan
1988,193,0.0,6,0.981114,nan
2004,194,1.0,16,0.980962,nan
2020,195,1.0,16,0.98081,nan
2026,196,0.0,6,0.980753,nan
2032,197,0.0,6,0.980696,nan
2038,198,0.0,6,0.980639,nan
2044,199,0.0,6,0.980582,nan
2050,200,0.0,6,0.980525,nan
2078,201,2.0,28,0.980259,nan
2094,202,1.0,16,0.980107,nan
2100,203,0.0,6,0.98005,nan
2106,204,0.0,6,0.979993,nan
2112,205,0.0,6,0.979936,nan
2118,206,0.0,6,0.979879,nan
2124,207,0.0,6,0.979822,nan
2130,208,0.0,6,0.979765,nan
2136,209,0.0,6,0.979708,nan
2152,210,1.0,16,0.979556,nan
2168,211,1.0,16,0.979404,nan
