#{"t_start": 1774685344.4922812, "env_id": "None"}
r,l,t
1.0,16,2.176543
1.0,16,2.223509
0.0,6,2.24037
0.0,6,2.256475
1.0,16,2.299036
0.0,6,2.31326
1.0,16,2.352497
0.0,6,2.366101
0.0,6,2.379074
0.0,6,2.391279
1.0,16,2.43041
1.0,16,2.464019
1.0,16,2.510066
0.0,6,2.524906
0.0,6,2.546781
0.0,6,2.562148
0.0,6,2.574596
0.0,6,2.586699
0.0,6,2.599175
0.0,6,2.612056
0.0,6,2.624905
1.0,16,2.663657
0.0,6,2.676186
0.0,6,2.688605
0.0,6,2.701188
1.0,16,2.73528
0.0,6,2.750726
0.0,6,2.763396
0.0,6,2.775787
0.0,6,2.788296
0.0,6,2.800729
0.0,6,2.813164
0.0,6,2.827552
1.0,16,2.872778
0.0,6,2.885618
0.0,6,2.898365
1.0,16,2.932339
0.0,6,2.945464
0.0,6,2.961318
0.0,6,2.97408
0.0,6,2.986945
0.0,6,2.999877
0.0,6,3.012517
0.0,6,3.025314
0.0,6,3.038358
1.0,16,3.079411
0.0,6,3.09195
0.0,6,3.104597
0.0,6,3.117535
0.0,6,3.130386
0.0,6,3.143615
0.0,6,3.158814
0.0,6,3.171463
1.0,16,3.204297
0.0,6,3.216706
1.0,16,3.250093
0.0,6,3.265983
0.0,6,3.28203
0.0,6,3.295759
0.0,6,3.308142
0.0,6,3.320565
0.0,6,3.333249
1.0,16,3.366335
1.0,16,3.40596
0.0,6,3.418622
0.0,6,3.434119
0.0,6,3.446551
2.0,26,3.503417
1.0,16,3.536955
0.0,6,3.550371
0.0,6,3.566306
0.0,6,3.584058
1.0,16,3.622983
0.0,6,3.63605
0.0,6,3.648543
0.0,6,3.661128
1.0,16,3.698296
0.0,6,3.712007
0.0,6,3.729406
2.0,28,3.81055
0.0,6,3.82625
0.0,6,3.842359
1.0,16,3.879308
1.0,16,3.920661
0.0,6,3.933213
0.0,6,3.94607
0.0,6,3.96173
4.0,48,4.078645
0.0,6,4.092026
0.0,6,4.11044
0.0,6,4.127332
1.0,16,4.170407
0.0,6,4.184539
0.0,6,4.198305
0.0,6,4.21485
0.0,6,4.228987
0.0,6,4.245094
1.0,16,4.2865
1.0,16,4.334723
0.0,6,4.35155
0.0,6,4.371125
0.0,6,4.389667
0.0,6,4.407835
0.0,6,4.433092
0.0,6,4.449493
1.0,16,4.491938
0.0,6,4.508726
0.0,6,4.526648
1.0,16,4.556127
0.0,6,4.566713
