#{"t_start": 1774703664.5630655, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,245,483.693716
0.0,142,484.700027
1.0,191,485.384452
4.0,333,486.543334
1.0,181,487.186866
2.0,217,487.960575
1.0,180,488.595109
3.0,268,489.563735
2.0,213,490.323428
2.0,215,491.070884
2.0,187,491.867815
4.0,301,493.990513
4.0,312,495.21064
9.0,423,496.682118
3.0,271,497.634749
1.0,184,498.261672
0.0,136,498.750867
3.0,260,499.687768
5.0,352,501.366133
2.0,208,502.081232
3.0,243,502.924307
0.0,130,503.367139
2.0,204,504.058809
3.0,249,505.211664
2.0,201,506.206772
4.0,303,507.576159
6.0,400,509.444214
9.0,409,510.842355
9.0,410,512.240336
1.0,194,512.89478
2.0,251,513.754475
5.0,395,515.118094
2.0,199,515.801893
4.0,301,517.400917
4.0,297,518.828809
6.0,358,520.468596
4.0,307,521.515093
0.0,140,522.006173
11.0,390,523.348488
5.0,336,524.49162
4.0,312,526.041162
5.0,331,527.152171
0.0,131,527.586983
7.0,454,529.151097
5.0,309,530.366226
5.0,333,532.030477
5.0,362,534.03407
4.0,301,535.067995
3.0,263,535.976881
3.0,228,536.752479
4.0,285,537.725103
5.0,323,538.81756
6.0,372,540.112583
4.0,262,541.549825
2.0,208,542.264731
3.0,253,543.269713
3.0,262,544.538065
0.0,146,545.363914
3.0,268,546.451917
2.0,218,547.211328
4.0,263,548.118223
3.0,259,549.003066
1.0,181,550.111701
0.0,136,550.560464
4.0,298,551.587375
4.0,300,552.613004
1.0,177,553.225392
3.0,246,554.051404
1.0,167,554.611362
3.0,253,555.461936
3.0,250,556.581672
4.0,282,558.652459
3.0,229,559.444012
3.0,258,560.309994
1.0,155,560.851542
4.0,287,561.846656
5.0,351,563.057111
0.0,133,563.524922
0.0,128,563.974804
5.0,322,565.076912
7.0,399,566.936451
6.0,358,568.174889
5.0,310,569.595249
1.0,161,570.410965
3.0,254,571.675938
5.0,332,572.839334
4.0,295,574.354896
2.0,214,575.082247
2.0,208,575.8615
3.0,233,576.678166
5.0,348,577.898144
5.0,329,579.04262
0.0,126,579.515904
6.0,351,580.758609
0.0,138,581.258878
