#{"t_start": 1774680818.1538403, "env_id": "None"}
r,l,t
0.0,6,1.5656
0.0,6,1.566203
0.0,6,1.566862
0.0,6,1.567443
0.0,6,1.570462
2.0,28,1.572927
0.0,6,1.573463
0.0,6,1.5741
1.0,16,1.577741
0.0,6,1.578382
0.0,6,1.579002
0.0,6,1.579524
2.0,26,1.583935
1.0,16,1.585261
0.0,6,1.585774
1.0,16,1.587096
0.0,6,1.58976
0.0,6,1.590301
1.0,16,1.591648
0.0,6,1.592296
0.0,6,1.59497
0.0,6,1.595572
0.0,6,1.596094
0.0,6,1.596675
1.0,16,1.600075
0.0,6,1.600616
0.0,6,1.601196
0.0,6,1.601751
1.0,16,1.605193
1.0,16,1.60655
0.0,6,1.607136
0.0,6,1.607643
0.0,6,1.610269
0.0,6,1.610811
1.0,16,1.612241
0.0,6,1.612905
0.0,6,1.616713
1.0,16,1.6185
1.0,16,1.619897
0.0,6,1.620567
0.0,6,1.623377
1.0,16,1.624839
2.0,26,1.627121
0.0,6,1.627694
0.0,6,1.630685
1.0,16,1.632122
0.0,6,1.632689
1.0,16,1.634043
0.0,6,1.636762
0.0,6,1.637291
0.0,6,1.637875
0.0,6,1.638434
1.0,16,1.641852
0.0,6,1.642506
0.0,6,1.64305
0.0,6,1.64363
0.0,6,1.646208
0.0,6,1.646815
1.0,16,1.648234
0.0,6,1.648812
0.0,6,1.651454
3.0,38,1.654732
0.0,6,1.655313
0.0,6,1.655838
0.0,6,1.658616
0.0,6,1.659164
1.0,16,1.660503
0.0,6,1.661087
0.0,6,1.664263
0.0,6,1.664936
0.0,6,1.665579
0.0,6,1.666214
0.0,6,1.670578
0.0,6,1.67119
0.0,6,1.671776
0.0,6,1.672447
0.0,6,1.675133
0.0,6,1.67575
0.0,6,1.67626
0.0,6,1.676835
0.0,6,1.679511
0.0,6,1.680108
0.0,6,1.680629
2.0,28,1.682976
2.0,26,1.687153
1.0,16,1.688509
1.0,16,1.689798
0.0,6,1.690308
0.0,6,1.693167
1.0,16,1.694551
0.0,6,1.695068
1.0,16,1.696488
1.0,16,1.699907
0.0,6,1.700506
0.0,6,1.701022
2.0,28,1.703367
1.0,16,1.706741
0.0,6,1.707346
0.0,6,1.707848
0.0,6,1.708426
1.0,16,1.711963
0.0,6,1.712627
0.0,6,1.734856
1.0,16,1.73649
0.0,6,1.739528
0.0,6,1.740167
0.0,6,1.740766
1.0,16,1.742307
1.0,16,1.746245
0.0,6,1.746935
1.0,16,1.748338
0.0,6,1.748883
0.0,6,1.751676
1.0,16,1.753332
0.0,6,1.753909
2.0,28,1.756156
0.0,6,1.758976
0.0,6,1.759621
0.0,6,1.760261
0.0,6,1.760777
0.0,6,1.763601
0.0,6,1.764152
0.0,6,1.764727
1.0,16,1.766059
0.0,6,1.768697
1.0,16,1.770163
0.0,6,1.770905
1.0,16,1.772626
0.0,6,1.775783
0.0,6,1.776474
0.0,6,1.777064
0.0,6,1.777743
1.0,16,1.783202
0.0,6,1.783799
0.0,6,1.784434
0.0,6,1.785014
0.0,6,1.787816
0.0,6,1.788403
2.0,28,1.790673
0.0,6,1.791274
0.0,6,1.794136
0.0,6,1.794749
1.0,16,1.796068
1.0,16,1.797447
0.0,6,1.800227
0.0,6,1.800931
0.0,6,1.80152
0.0,6,1.802219
0.0,6,1.805091
0.0,6,1.805695
0.0,6,1.806217
0.0,6,1.806784
1.0,16,1.810344
0.0,6,1.810868
0.0,6,1.811584
1.0,16,1.813262
0.0,6,1.815897
1.0,16,1.817382
0.0,6,1.817973
0.0,6,1.818486
1.0,16,1.822365
0.0,6,1.82299
0.0,6,1.823507
1.0,16,1.824847
1.0,16,1.82843
0.0,6,1.829004
1.0,16,1.831109
1.0,16,1.833714
1.0,16,1.840053
0.0,6,1.840872
0.0,6,1.84182
2.0,26,1.845311
0.0,6,1.849504
0.0,6,1.850302
0.0,6,1.851201
0.0,6,1.852085
0.0,6,1.856574
0.0,6,1.857422
0.0,6,1.858507
1.0,16,1.861077
0.0,6,1.864713
0.0,6,1.865321
0.0,6,1.865845
0.0,6,1.866492
0.0,6,1.869232
0.0,6,1.86993
0.0,6,1.87052
0.0,6,1.871147
1.0,16,1.87513
0.0,6,1.875739
0.0,6,1.876345
0.0,6,1.876857
1.0,16,1.880638
0.0,6,1.881317
0.0,6,1.881976
2.0,28,1.884487
0.0,6,1.887881
0.0,6,1.888578
0.0,6,1.889271
0.0,6,1.889841
0.0,6,1.894711
0.0,6,1.895578
0.0,6,1.896532
0.0,6,1.897457
0.0,6,1.901546
1.0,16,1.903225
0.0,6,1.90379
1.0,16,1.905191
0.0,6,1.908114
0.0,6,1.908773
0.0,6,1.909484
0.0,6,1.909989
0.0,6,1.914676
0.0,6,1.915291
0.0,6,1.916012
0.0,6,1.916602
0.0,6,1.919636
0.0,6,1.920228
0.0,6,1.920864
0.0,6,1.921487
0.0,6,1.924525
1.0,16,1.925997
0.0,6,1.92657
0.0,6,1.927191
2.0,26,1.932021
1.0,16,1.933887
0.0,6,1.934551
0.0,6,1.935109
0.0,6,1.938104
1.0,16,1.939605
0.0,6,1.940149
0.0,6,1.94078
0.0,6,1.943788
0.0,6,1.944415
1.0,16,1.94573
0.0,6,1.94623
0.0,6,1.94945
0.0,6,1.950491
0.0,6,1.951242
0.0,6,1.951938
0.0,6,1.955135
0.0,6,1.955785
2.0,28,1.958359
0.0,6,1.959034
1.0,16,1.96288
1.0,16,1.964375
0.0,6,1.964942
0.0,6,1.965549
2.0,28,1.969951
0.0,6,1.970484
0.0,6,1.971074
0.0,6,1.971588
0.0,6,1.974622
0.0,6,1.975167
0.0,6,1.975822
1.0,16,1.977144
1.0,16,1.98076
0.0,6,1.981274
0.0,6,1.981903
0.0,6,1.982488
0.0,6,1.985255
0.0,6,1.985797
1.0,16,1.98713
1.0,16,1.988643
0.0,6,1.991406
1.0,16,1.993217
0.0,6,1.993801
0.0,6,1.994453
1.0,16,1.99861
0.0,6,1.999184
0.0,6,1.999827
2.0,28,2.002592
0.0,6,2.007093
0.0,6,2.007767
0.0,6,2.008321
0.0,6,2.008965
0.0,6,2.011585
0.0,6,2.012391
0.0,6,2.013055
1.0,16,2.014458
0.0,6,2.017238
1.0,16,2.01871
0.0,6,2.019306
0.0,6,2.01995
0.0,6,2.022798
0.0,6,2.023454
1.0,16,2.024775
0.0,6,2.025353
0.0,6,2.028266
0.0,6,2.028899
0.0,6,2.029548
0.0,6,2.030047
0.0,6,2.033745
0.0,6,2.034714
0.0,6,2.03574
0.0,6,2.03687
1.0,16,2.042718
1.0,16,2.044841
0.0,6,2.045743
0.0,6,2.046533
1.0,16,2.05183
0.0,6,2.052945
0.0,6,2.053824
0.0,6,2.054796
0.0,6,2.058718
0.0,6,2.059693
1.0,16,2.061975
1.0,16,2.064385
0.0,6,2.068582
0.0,6,2.069623
0.0,6,2.070279
0.0,6,2.070908
0.0,6,2.073932
0.0,6,2.07465
1.0,16,2.07619
0.0,6,2.076766
0.0,6,2.079632
1.0,16,2.080988
0.0,6,2.081518
0.0,6,2.082174
0.0,6,2.08504
0.0,6,2.085719
0.0,6,2.086248
0.0,6,2.086876
0.0,6,2.089735
1.0,16,2.091151
0.0,6,2.093824
0.0,6,2.094495
0.0,6,2.097236
1.0,16,2.098688
0.0,6,2.099204
0.0,6,2.099762
0.0,6,2.10271
0.0,6,2.103448
0.0,6,2.103962
0.0,6,2.104544
0.0,6,2.109464
0.0,6,2.110072
0.0,6,2.110594
0.0,6,2.111214
2.0,26,2.116154
0.0,6,2.116858
2.0,28,2.11943
0.0,6,2.119997
0.0,6,2.12293
1.0,16,2.124691
1.0,16,2.127089
0.0,6,2.127985
1.0,16,2.132073
1.0,16,2.133685
0.0,6,2.134342
1.0,16,2.136108
0.0,6,2.138994
0.0,6,2.139673
1.0,16,2.1411
0.0,6,2.141659
1.0,16,2.14537
0.0,6,2.14601
0.0,6,2.146512
0.0,6,2.147136
0.0,6,2.149776
0.0,6,2.150392
0.0,6,2.150901
0.0,6,2.151481
0.0,6,2.154344
0.0,6,2.154943
0.0,6,2.155461
0.0,6,2.156036
0.0,6,2.158729
0.0,6,2.159448
0.0,6,2.160034
2.0,28,2.162466
0.0,6,2.165329
1.0,16,2.166736
0.0,6,2.167294
0.0,6,2.168022
0.0,6,2.170725
2.0,28,2.173259
2.0,26,2.175467
0.0,6,2.176075
0.0,6,2.178707
0.0,6,2.179243
0.0,6,2.179826
0.0,6,2.180344
0.0,6,2.183276
1.0,16,2.184759
0.0,6,2.185333
1.0,16,2.186666
1.0,16,2.190349
2.0,28,2.19281
1.0,16,2.194191
0.0,6,2.195084
0.0,6,2.198317
0.0,6,2.199227
0.0,6,2.19993
0.0,6,2.200759
1.0,16,2.205871
0.0,6,2.20667
0.0,6,2.207481
0.0,6,2.208384
0.0,6,2.212311
0.0,6,2.214964
0.0,6,2.215914
0.0,6,2.216569
0.0,6,2.21946
2.0,26,2.221681
0.0,6,2.22235
0.0,6,2.222931
0.0,6,2.225679
0.0,6,2.226213
0.0,6,2.226802
0.0,6,2.227316
0.0,6,2.230032
0.0,6,2.230584
1.0,16,2.231972
2.0,28,2.234384
1.0,16,2.239497
1.0,16,2.241853
1.0,16,2.244345
1.0,16,2.246574
1.0,16,2.25218
0.0,6,2.253288
0.0,6,2.254181
0.0,6,2.25516
0.0,6,2.259264
0.0,6,2.260226
0.0,6,2.261022
1.0,16,2.263562
0.0,6,2.267823
0.0,6,2.268734
0.0,6,2.272124
2.0,26,2.276073
1.0,16,2.28396
0.0,6,2.285644
0.0,6,2.286946
0.0,6,2.288588
0.0,6,2.293854
1.0,16,2.296577
2.0,28,2.301892
0.0,6,2.303324
1.0,16,2.309636
1.0,16,2.311135
0.0,6,2.311815
1.0,16,2.313545
2.0,26,2.318468
0.0,6,2.319037
0.0,6,2.319726
0.0,6,2.320303
0.0,6,2.323826
1.0,16,2.325293
0.0,6,2.325908
1.0,16,2.327572
0.0,6,2.332299
1.0,16,2.333916
0.0,6,2.334534
1.0,16,2.336453
0.0,6,2.339648
1.0,16,2.340996
0.0,6,2.341518
0.0,6,2.342124
1.0,16,2.345692
1.0,16,2.347089
0.0,6,2.347668
0.0,6,2.348275
0.0,6,2.350864
1.0,16,2.352304
0.0,6,2.35304
0.0,6,2.353644
0.0,6,2.356426
0.0,6,2.357067
0.0,6,2.357752
0.0,6,2.358371
0.0,6,2.36109
0.0,6,2.361634
1.0,16,2.363045
0.0,6,2.363626
0.0,6,2.366212
0.0,6,2.366819
0.0,6,2.367339
0.0,6,2.367908
0.0,6,2.370538
