#{"t_start": 1774687142.1115823, "env_id": "None"}
r,l,t
0.0,6,7.691788
0.0,6,7.702395
0.0,6,7.71296
0.0,6,7.725973
1.0,16,7.762076
0.0,6,7.773384
0.0,6,7.783573
0.0,6,7.794457
0.0,6,7.804943
1.0,16,7.835475
0.0,6,7.846082
1.0,16,7.873712
2.0,26,7.918094
1.0,16,7.951094
1.0,16,7.979301
1.0,16,8.008391
0.0,6,8.018809
0.0,6,8.03147
0.0,6,8.046224
0.0,6,8.061385
3.0,38,8.130143
0.0,6,8.143499
1.0,16,8.173794
0.0,6,8.184837
0.0,6,8.194914
0.0,6,8.209244
0.0,6,8.226579
0.0,6,8.246914
0.0,6,8.263564
1.0,16,8.31044
0.0,6,8.329462
0.0,6,8.356524
0.0,6,8.376168
0.0,6,8.391331
1.0,16,8.431612
0.0,6,8.449333
0.0,6,8.463246
0.0,6,8.475752
0.0,6,8.488159
0.0,6,8.500731
0.0,6,8.51618
0.0,6,8.529423
0.0,6,8.543114
0.0,6,8.567539
0.0,6,8.584616
0.0,6,8.59737
0.0,6,8.612453
0.0,6,8.626315
0.0,6,8.640418
0.0,6,8.653267
0.0,6,8.668232
1.0,16,8.701818
0.0,6,8.714427
2.0,26,8.777446
1.0,16,8.811325
0.0,6,8.824264
2.0,28,8.913441
1.0,16,8.959715
0.0,6,8.975848
0.0,6,8.989201
0.0,6,9.00355
0.0,6,9.016905
0.0,6,9.030529
1.0,16,9.087041
0.0,6,9.106348
0.0,6,9.127239
0.0,6,9.141329
2.0,28,9.213949
0.0,6,9.227298
0.0,6,9.241247
0.0,6,9.255727
0.0,6,9.26962
1.0,16,9.306895
1.0,16,9.342004
1.0,16,9.40305
0.0,6,9.422216
0.0,6,9.440006
0.0,6,9.455582
0.0,6,9.470896
0.0,6,9.486742
2.0,26,9.547039
0.0,6,9.568578
0.0,6,9.586224
0.0,6,9.598979
0.0,6,9.621152
0.0,6,9.634664
0.0,6,9.648083
0.0,6,9.661817
0.0,6,9.675154
0.0,6,9.688351
0.0,6,9.701658
0.0,6,9.717874
0.0,6,9.730805
1.0,16,9.766332
0.0,6,9.780159
0.0,6,9.79331
0.0,6,9.806363
1.0,16,9.843414
0.0,6,9.860568
0.0,6,9.882517
0.0,6,9.899001
0.0,6,9.919556
0.0,6,9.939608
0.0,6,9.955837
0.0,6,9.970156
1.0,16,10.013941
0.0,6,10.033536
1.0,16,10.075561
0.0,6,10.093503
0.0,6,10.110296
1.0,16,10.151928
1.0,16,10.1916
1.0,16,10.229429
0.0,6,10.246242
0.0,6,10.264892
1.0,16,10.316309
0.0,6,10.332284
0.0,6,10.351628
1.0,16,10.399467
1.0,16,10.439857
0.0,6,10.458344
0.0,6,10.47241
0.0,6,10.485054
1.0,16,10.533639
0.0,6,10.558249
0.0,6,10.582186
1.0,16,10.64522
1.0,16,10.692767
0.0,6,10.7113
1.0,16,10.738203
1.0,16,10.770569
0.0,6,10.78386
0.0,6,10.796335
0.0,6,10.806922
0.0,6,10.817871
0.0,6,10.828515
0.0,6,10.839147
0.0,6,10.849702
0.0,6,11.083287
0.0,6,11.096353
1.0,16,11.123976
0.0,6,11.134267
2.0,26,11.182191
0.0,6,11.192733
1.0,16,11.221524
0.0,6,11.232179
0.0,6,11.242938
1.0,16,11.27287
1.0,16,11.304873
0.0,6,11.316115
0.0,6,11.328187
1.0,16,11.356523
0.0,6,11.369667
2.0,28,11.426671
0.0,6,11.436889
0.0,6,11.446851
1.0,16,11.475321
4.0,48,11.560918
0.0,6,11.577409
1.0,16,11.607578
