method,ddqn,ga,nes,ppo,sb3_dqn,sb3_ppo
ddqn,1.0,0.0019415384631653598,0.00859264532125159,0.7252185576719099,0.9999940922097149,0.9539714064072925
ga,0.0019415384631653598,1.0,0.9986732863359874,0.15423234046423873,0.0032515803295209977,0.03858178145610547
nes,0.00859264532125159,0.9986732863359874,1.0,0.3396167627198454,0.01354906055034244,0.11292518554309783
ppo,0.7252185576719099,0.15423234046423873,0.3396167627198454,1.0,0.8017588217173977,0.9947786976074394
sb3_dqn,0.9999940922097149,0.0032515803295209977,0.01354906055034244,0.8017588217173977,1.0,0.9776305353286752
sb3_ppo,0.9539714064072925,0.03858178145610547,0.11292518554309783,0.9947786976074394,0.9776305353286752,1.0
