generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,0.36666667461395264,0.5560533404350281,2.0,30
2,0.23333333432674408,0.5040069222450256,2.0,60
3,0.1666666716337204,0.37904900312423706,1.0,90
4,0.4000000059604645,0.5632418394088745,2.0,120
5,0.30000001192092896,0.5959634184837341,2.0,150
6,0.30000001192092896,0.5349830985069275,2.0,180
7,0.46666666865348816,0.730296790599823,3.0,210
8,0.46666666865348816,0.730296790599823,3.0,240
9,0.46666666865348816,0.6288102865219116,2.0,270
10,0.4000000059604645,0.5632418394088745,2.0,300
11,0.46666666865348816,0.7760790586471558,3.0,330
12,0.46666666865348816,0.6288102865219116,2.0,360
13,0.3333333432674408,0.7111589908599854,3.0,390
14,0.4000000059604645,0.6214554309844971,2.0,420
15,0.4333333373069763,0.7279319763183594,2.0,450
16,0.6666666865348816,1.2129567861557007,5.0,480
17,0.4000000059604645,0.7239736914634705,3.0,510
18,0.5,0.5723514556884766,2.0,540
19,0.3333333432674408,0.5466722249984741,2.0,570
20,0.23333333432674408,0.5040069222450256,2.0,600
21,0.30000001192092896,0.5349830985069275,2.0,630
22,0.20000000298023224,0.4842342138290405,2.0,660
23,0.23333333432674408,0.4301830232143402,1.0,690
24,0.4000000059604645,0.6214554905891418,2.0,720
25,0.3333333432674408,0.660894513130188,2.0,750
26,0.2666666805744171,0.4497765004634857,1.0,780
27,0.2666666805744171,0.4497765004634857,1.0,810
28,0.46666666865348816,0.9371023774147034,4.0,840
29,0.2666666805744171,0.520830512046814,2.0,870
30,0.36666667461395264,0.6149478554725647,2.0,900
31,0.4333333373069763,0.6789106130599976,3.0,930
32,0.4000000059604645,0.4982728660106659,1.0,960
33,0.5,0.6297235488891602,2.0,990
34,0.3333333432674408,0.7580980658531189,3.0,1020
35,0.6000000238418579,0.6746646165847778,2.0,1050
36,0.6000000238418579,0.6214554309844971,2.0,1080
37,0.4000000059604645,0.6746646761894226,2.0,1110
38,0.30000001192092896,0.5349830985069275,2.0,1140
39,0.36666667461395264,0.49013248085975647,1.0,1170
40,0.23333333432674408,0.6260623335838318,3.0,1200
41,0.23333333432674408,0.4301830232143402,1.0,1230
42,0.4000000059604645,0.5632418394088745,2.0,1260
43,0.30000001192092896,0.5349830985069275,2.0,1290
44,0.06666667014360428,0.253708153963089,1.0,1320
45,0.20000000298023224,0.4068380892276764,1.0,1350
46,0.3333333432674408,0.5466722846031189,2.0,1380
47,0.30000001192092896,0.794376790523529,3.0,1410
48,0.4333333373069763,0.5040069818496704,1.0,1440
49,0.4333333373069763,0.5683207511901855,2.0,1470
50,0.23333333432674408,0.5040069222450256,2.0,1500
51,0.699999988079071,0.651258647441864,2.0,1530
52,0.4000000059604645,0.5632418394088745,2.0,1560
53,0.5,0.6297235488891602,2.0,1590
54,0.5,0.6297235488891602,2.0,1620
55,0.4333333373069763,0.5683207511901855,2.0,1650
56,0.699999988079071,0.7022132277488708,2.0,1680
57,0.6000000238418579,0.6214554309844971,2.0,1710
58,0.5,0.6297235488891602,2.0,1740
59,0.699999988079071,0.5959634184837341,2.0,1770
60,0.5666666626930237,0.626062273979187,2.0,1800
61,0.7333333492279053,0.7396798729896545,2.0,1830
62,0.8999999761581421,0.8448627591133118,3.0,1860
63,0.8666666746139526,0.730296790599823,2.0,1890
64,0.5333333611488342,0.6814454197883606,2.0,1920
65,0.4000000059604645,0.6214554905891418,2.0,1950
66,0.699999988079071,0.6512587070465088,2.0,1980
67,0.7666666507720947,0.6260623335838318,2.0,2010
68,0.6333333253860474,0.5560533404350281,2.0,2040
69,0.6333333253860474,0.6686750650405884,2.0,2070
70,0.5666666626930237,0.678910493850708,2.0,2100
71,0.800000011920929,0.7611244320869446,2.0,2130
72,0.6666666865348816,0.5466722846031189,2.0,2160
73,0.4333333373069763,0.5683207511901855,2.0,2190
74,0.6000000238418579,0.5632418394088745,2.0,2220
75,0.6333333253860474,0.6149478554725647,2.0,2250
76,0.6666666865348816,0.6064783334732056,2.0,2280
77,0.6000000238418579,0.5632418394088745,2.0,2310
78,0.6666666865348816,0.5466722846031189,2.0,2340
79,0.5666666626930237,0.626062273979187,2.0,2370
80,0.4333333373069763,0.5040069818496704,1.0,2400
81,0.5666666626930237,0.5040069818496704,1.0,2430
82,0.5,0.5085476040840149,1.0,2460
83,0.6333333253860474,0.4901324510574341,1.0,2490
84,0.699999988079071,0.7022132277488708,2.0,2520
85,0.46666666865348816,0.5713465213775635,2.0,2550
86,0.6000000238418579,0.6214554309844971,2.0,2580
87,0.46666666865348816,0.6814454197883606,2.0,2610
88,0.699999988079071,0.6512587070465088,2.0,2640
89,0.4333333373069763,0.5683207511901855,2.0,2670
90,0.4000000059604645,0.5632418394088745,2.0,2700
91,0.4000000059604645,0.4982728958129883,1.0,2730
92,0.46666666865348816,0.5074162483215332,1.0,2760
93,0.7333333492279053,0.5208304524421692,2.0,2790
94,0.36666667461395264,0.4901324510574341,1.0,2820
95,0.4000000059604645,0.5632418394088745,2.0,2850
96,0.46666666865348816,0.5074162483215332,1.0,2880
97,0.6333333253860474,0.6149478554725647,2.0,2910
98,0.5333333611488342,0.6814454197883606,2.0,2940
99,0.6000000238418579,0.6746646165847778,2.0,2970
100,0.4333333373069763,0.5683207511901855,2.0,3000
101,0.699999988079071,0.6512587070465088,2.0,3030
102,0.6000000238418579,0.5632418394088745,2.0,3060
103,0.6000000238418579,0.4982728660106659,1.0,3090
104,0.5,0.5723514556884766,2.0,3120
105,0.5666666626930237,0.5683207511901855,2.0,3150
106,0.5333333611488342,0.5074162483215332,1.0,3180
107,0.4000000059604645,0.4982728660106659,1.0,3210
108,0.6666666865348816,0.5466722846031189,2.0,3240
109,0.6000000238418579,0.6214554309844971,2.0,3270
110,0.6000000238418579,0.4982728660106659,1.0,3300
111,0.5666666626930237,0.626062273979187,2.0,3330
112,0.6666666865348816,0.660894513130188,2.0,3360
113,0.699999988079071,0.5959634184837341,2.0,3390
114,0.46666666865348816,0.6814454197883606,2.0,3420
115,0.6000000238418579,0.7239736318588257,2.0,3450
116,0.5,0.5085476040840149,1.0,3480
117,0.4333333373069763,0.5683207511901855,2.0,3510
118,0.6000000238418579,0.7239736318588257,2.0,3540
119,0.6333333253860474,0.8087169528007507,2.0,3570
120,0.5333333611488342,0.5713465809822083,2.0,3600
121,0.800000011920929,0.6643638610839844,2.0,3630
122,0.7666666507720947,0.6260623335838318,2.0,3660
123,0.800000011920929,0.7611244320869446,2.0,3690
124,0.7666666507720947,0.7738544344902039,2.0,3720
125,1.0,0.7427813410758972,2.0,3750
126,1.0666667222976685,0.8683449625968933,3.0,3780
127,1.0,0.694808304309845,2.0,3810
128,1.1666666269302368,0.7914776802062988,2.0,3840
129,1.2333333492279053,0.8583598732948303,2.0,3870
130,0.7666666507720947,0.7279320955276489,2.0,3900
131,0.9333333373069763,0.8683449625968933,2.0,3930
132,1.0,0.8304548263549805,2.0,3960
133,0.800000011920929,0.8051558136940002,2.0,3990
134,0.800000011920929,0.805155873298645,2.0,4020
135,0.8666666746139526,0.7760791778564453,2.0,4050
136,1.0333333015441895,0.808716893196106,2.0,4080
137,0.9666666388511658,0.7648904919624329,2.0,4110
138,0.9333333373069763,0.8276818990707397,2.0,4140
139,0.8666666746139526,0.730296790599823,2.0,4170
140,0.9333333373069763,0.9071871042251587,2.0,4200
