generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,1.0,1.8003830909729004,9.0,30
2,1.2666666507720947,1.3373501300811768,5.0,60
3,0.7333333492279053,0.9444331526756287,4.0,90
4,1.3666666746139526,1.2452207803726196,4.0,120
5,1.7000000476837158,1.7250685691833496,7.0,150
6,1.6333333253860474,1.4499306678771973,5.0,180
7,1.2333333492279053,1.6333450078964233,6.0,210
8,1.2666666507720947,1.5070714950561523,6.0,240
9,1.6333333253860474,1.5643293857574463,5.0,270
10,1.5666667222976685,1.8323403596878052,9.0,300
11,1.6666666269302368,1.708666443824768,5.0,330
12,2.066666603088379,2.258063554763794,9.0,360
13,1.7666666507720947,2.1922013759613037,9.0,390
14,1.100000023841858,1.5833182334899902,5.0,420
