generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,1.0499999523162842,0.9986832737922668,3.0,20
2,0.8500000238418579,0.9880869388580322,3.0,40
3,1.0,0.9176629185676575,3.0,60
4,0.800000011920929,1.1964861154556274,4.0,80
5,1.25,1.4823522567749023,4.0,100
6,1.350000023841858,1.0399898290634155,3.0,120
7,1.649999976158142,1.7554426193237305,5.0,140
8,1.5499999523162842,1.7006192207336426,6.0,160
9,1.5,1.538967490196228,5.0,180
10,1.350000023841858,0.8750939965248108,3.0,200
11,1.149999976158142,1.1367080211639404,3.0,220
12,1.5,1.1920790672302246,4.0,240
13,0.75,0.9665457010269165,3.0,260
14,1.2000000476837158,1.3611141443252563,4.0,280
15,1.350000023841858,1.039989948272705,4.0,300
16,1.5,1.3572417497634888,5.0,320
17,1.25,1.585294246673584,6.0,340
18,1.100000023841858,1.1652873754501343,4.0,360
19,1.149999976158142,1.6311118602752686,5.0,380
20,2.0,2.427907943725586,9.0,400
