#{"t_start": 1774685778.0786405, "env_id": "None"}
r,l,t
0.0,6,2.045853
0.0,6,2.056872
0.0,6,2.067343
0.0,6,2.079734
0.0,6,2.094452
1.0,16,2.126299
0.0,6,2.136753
0.0,6,2.147395
0.0,6,2.157847
0.0,6,2.168743
0.0,6,2.179802
1.0,16,2.211165
0.0,6,2.22206
1.0,16,2.250264
0.0,6,2.260455
0.0,6,2.271496
0.0,6,2.285269
0.0,6,2.296374
0.0,6,2.306613
0.0,6,2.319026
0.0,6,2.32919
0.0,6,2.339285
0.0,6,2.349471
0.0,6,2.359759
0.0,6,2.370019
0.0,6,2.383192
0.0,6,2.395318
1.0,16,2.425229
0.0,6,2.436057
0.0,6,2.446719
0.0,6,2.457164
1.0,16,2.484896
0.0,6,2.49536
1.0,16,2.526791
1.0,16,2.554431
1.0,16,2.581939
0.0,6,2.59232
1.0,16,2.621564
0.0,6,2.63173
0.0,6,2.642011
0.0,6,2.652344
0.0,6,2.662494
0.0,6,2.672709
0.0,6,2.686656
0.0,6,2.699838
0.0,6,2.710457
1.0,16,2.741627
0.0,6,2.752082
1.0,16,2.780835
0.0,6,2.792074
0.0,6,2.803087
0.0,6,2.814162
0.0,6,2.827503
1.0,16,2.856577
0.0,6,2.867636
0.0,6,2.87911
0.0,6,2.895426
0.0,6,2.911886
0.0,6,2.925761
0.0,6,2.942596
2.0,26,3.030872
0.0,6,3.048439
1.0,16,3.089178
1.0,16,3.132722
1.0,16,3.166434
0.0,6,3.18172
0.0,6,3.200014
1.0,16,3.240668
0.0,6,3.253757
1.0,16,3.294186
0.0,6,3.307165
0.0,6,3.320114
0.0,6,3.332915
0.0,6,3.348439
1.0,16,3.386441
1.0,16,3.437583
0.0,6,3.453905
2.0,28,3.516597
1.0,16,3.554306
0.0,6,3.56744
0.0,6,3.58034
1.0,16,3.615194
1.0,16,3.64968
0.0,6,3.665924
0.0,6,3.678923
0.0,6,3.695996
1.0,16,3.734704
0.0,6,3.74841
0.0,6,3.765303
0.0,6,3.779377
0.0,6,3.794006
1.0,16,3.834769
1.0,16,3.875193
0.0,6,3.890449
