#{"t_start": 1774680405.22009, "env_id": "None"}
r,l,t
0.0,6,1.593645
0.0,6,1.594309
1.0,16,1.595829
0.0,6,1.596546
1.0,16,1.600381
0.0,6,1.600942
0.0,6,1.601587
0.0,6,1.60215
0.0,6,1.604855
0.0,6,1.605462
0.0,6,1.606141
0.0,6,1.606651
0.0,6,1.609285
0.0,6,1.609836
0.0,6,1.610428
0.0,6,1.610949
0.0,6,1.613624
1.0,16,1.615025
1.0,16,1.61644
0.0,6,1.616961
0.0,6,1.619566
0.0,6,1.62012
0.0,6,1.620715
0.0,6,1.621234
2.0,28,1.625695
2.0,26,1.627908
0.0,6,1.628469
0.0,6,1.629097
0.0,6,1.63162
0.0,6,1.632274
1.0,16,1.633628
0.0,6,1.634161
1.0,16,1.637654
0.0,6,1.638263
0.0,6,1.638787
0.0,6,1.639408
2.0,28,1.643749
0.0,6,1.644321
0.0,6,1.644933
0.0,6,1.64549
0.0,6,1.648256
0.0,6,1.649096
1.0,16,1.650483
0.0,6,1.651063
1.0,16,1.654461
2.0,28,1.657062
0.0,6,1.657616
0.0,6,1.658225
0.0,6,1.660777
0.0,6,1.661397
0.0,6,1.661942
0.0,6,1.662546
1.0,16,1.666142
1.0,16,1.667595
0.0,6,1.668131
1.0,16,1.669451
0.0,6,1.67216
0.0,6,1.672705
0.0,6,1.673289
0.0,6,1.673809
1.0,16,1.677306
2.0,26,1.679591
1.0,16,1.681555
1.0,16,1.68414
1.0,16,1.69011
0.0,6,1.691063
0.0,6,1.6922
0.0,6,1.693217
0.0,6,1.700543
0.0,6,1.701541
1.0,16,1.70447
0.0,6,1.705808
0.0,6,1.71037
1.0,16,1.712739
0.0,6,1.713421
0.0,6,1.713952
0.0,6,1.716881
0.0,6,1.717532
1.0,16,1.718932
0.0,6,1.719551
0.0,6,1.722244
0.0,6,1.72288
1.0,16,1.724296
0.0,6,1.724814
0.0,6,1.727602
0.0,6,1.728156
0.0,6,1.728729
0.0,6,1.729249
0.0,6,1.731868
0.0,6,1.732424
2.0,28,1.734702
1.0,16,1.736129
0.0,6,1.738806
1.0,16,1.740169
1.0,16,1.741494
3.0,38,1.744523
0.0,6,1.747353
0.0,6,1.747895
0.0,6,1.748482
1.0,16,1.750104
0.0,6,1.753144
0.0,6,1.77457
0.0,6,1.775213
2.0,28,1.777622
1.0,16,1.781146
0.0,6,1.781739
0.0,6,1.782244
0.0,6,1.782825
0.0,6,1.785459
0.0,6,1.786223
0.0,6,1.786853
1.0,16,1.788252
0.0,6,1.790897
0.0,6,1.791434
1.0,16,1.792763
0.0,6,1.793352
1.0,16,1.796945
0.0,6,1.797541
0.0,6,1.798194
0.0,6,1.798767
0.0,6,1.802032
0.0,6,1.802679
0.0,6,1.803371
0.0,6,1.803932
0.0,6,1.808338
0.0,6,1.808887
0.0,6,1.809529
1.0,16,1.810949
0.0,6,1.813632
1.0,16,1.815168
0.0,6,1.815785
1.0,16,1.817147
0.0,6,1.819736
1.0,16,1.821168
0.0,6,1.821753
0.0,6,1.822324
0.0,6,1.825019
0.0,6,1.825637
0.0,6,1.826298
0.0,6,1.826849
0.0,6,1.82949
3.0,38,1.832653
1.0,16,1.834151
2.0,26,1.836449
0.0,6,1.839197
1.0,16,1.840591
0.0,6,1.841236
1.0,16,1.842635
0.0,6,1.845442
1.0,16,1.846924
1.0,16,1.848353
0.0,6,1.848965
0.0,6,1.853873
1.0,16,1.856503
0.0,6,1.857465
1.0,16,1.859609
0.0,6,1.863755
2.0,26,1.867454
0.0,6,1.868273
0.0,6,1.869539
0.0,6,1.87403
0.0,6,1.874999
0.0,6,1.876003
0.0,6,1.877104
0.0,6,1.881107
0.0,6,1.882371
1.0,16,1.885214
0.0,6,1.886101
1.0,16,1.890202
0.0,6,1.890858
0.0,6,1.891479
0.0,6,1.892183
1.0,16,1.896001
0.0,6,1.896595
0.0,6,1.897239
0.0,6,1.897763
0.0,6,1.900723
0.0,6,1.901337
0.0,6,1.901985
1.0,16,1.903517
0.0,6,1.906415
0.0,6,1.907165
0.0,6,1.907736
0.0,6,1.908423
1.0,16,1.912375
0.0,6,1.913035
0.0,6,1.913713
0.0,6,1.914406
0.0,6,1.917792
0.0,6,1.918445
0.0,6,1.919112
2.0,26,1.921442
0.0,6,1.926347
0.0,6,1.926983
0.0,6,1.927565
0.0,6,1.928096
0.0,6,1.930823
0.0,6,1.931476
0.0,6,1.932142
0.0,6,1.932673
2.0,26,1.937256
0.0,6,1.937765
0.0,6,1.938413
2.0,26,1.940619
1.0,16,1.944222
0.0,6,1.944804
1.0,16,1.947747
1.0,16,1.949128
0.0,6,1.951937
1.0,16,1.953412
0.0,6,1.954086
0.0,6,1.954691
1.0,16,1.959433
0.0,6,1.960102
0.0,6,1.960747
0.0,6,1.961476
0.0,6,1.964405
0.0,6,1.965142
1.0,16,1.966947
0.0,6,1.967537
0.0,6,1.970405
1.0,16,1.971818
0.0,6,1.972399
0.0,6,1.973021
0.0,6,1.975961
1.0,16,1.977384
0.0,6,1.977965
1.0,16,1.97928
0.0,6,1.981988
0.0,6,1.982646
0.0,6,1.983206
0.0,6,1.983792
0.0,6,1.986667
1.0,16,1.98806
0.0,6,1.98872
0.0,6,1.989288
0.0,6,1.992272
0.0,6,1.992926
0.0,6,1.99357
1.0,16,1.995016
0.0,6,1.998183
0.0,6,1.998853
0.0,6,1.999467
0.0,6,2.000128
0.0,6,2.003166
0.0,6,2.003889
1.0,16,2.005482
0.0,6,2.006174
1.0,16,2.009998
1.0,16,2.01152
0.0,6,2.012251
1.0,16,2.013709
0.0,6,2.016759
0.0,6,2.01739
0.0,6,2.017894
0.0,6,2.018493
0.0,6,2.021134
0.0,6,2.021795
