generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
1,0.4000000059604645,0.5632418394088745,2.0,30
2,0.3333333432674408,0.5466722846031189,2.0,60
3,0.3333333432674408,0.660894513130188,3.0,90
4,0.5,0.8610338568687439,4.0,120
5,0.2666666805744171,0.4497765004634857,1.0,150
6,0.36666667461395264,0.6149478554725647,2.0,180
7,0.1666666716337204,0.37904900312423706,1.0,210
8,0.4000000059604645,0.5632418394088745,2.0,240
9,0.4333333373069763,0.7279319763183594,3.0,270
10,0.4000000059604645,0.6746646761894226,2.0,300
11,0.23333333432674408,0.4301830232143402,1.0,330
12,0.1666666716337204,0.37904900312423706,1.0,360
13,0.1666666716337204,0.4611330032348633,2.0,390
14,0.36666667461395264,0.5560533404350281,2.0,420
15,0.5333333611488342,0.6814454197883606,2.0,450
16,0.23333333432674408,0.4301830232143402,1.0,480
17,0.36666667461395264,0.49013248085975647,1.0,510
18,0.4333333373069763,0.678910493850708,3.0,540
19,0.4333333373069763,0.678910493850708,2.0,570
20,0.46666666865348816,0.6288102865219116,2.0,600
21,0.3333333432674408,0.9942362308502197,5.0,630
22,0.30000001192092896,0.9523111581802368,5.0,660
23,0.36666667461395264,0.4901324510574341,1.0,690
24,0.36666667461395264,0.5560533404350281,2.0,720
25,0.5666666626930237,0.8172001838684082,3.0,750
26,0.36666667461395264,0.6149478554725647,2.0,780
27,0.4333333373069763,0.678910493850708,3.0,810
28,0.36666667461395264,0.5560533404350281,2.0,840
29,0.36666667461395264,0.6149478554725647,2.0,870
30,0.4000000059604645,0.6746646165847778,3.0,900
31,0.4000000059604645,0.6746646165847778,3.0,930
32,0.6333333253860474,0.8502873778343201,4.0,960
33,0.5666666626930237,0.626062273979187,2.0,990
34,0.3333333432674408,0.5466722249984741,2.0,1020
35,0.5333333611488342,0.6288102865219116,2.0,1050
36,0.4333333373069763,0.626062273979187,2.0,1080
37,0.5666666626930237,0.678910493850708,2.0,1110
38,0.7333333492279053,0.9802650213241577,3.0,1140
39,0.5333333611488342,0.5713465213775635,2.0,1170
40,0.6666666865348816,0.6608945727348328,2.0,1200
41,0.6333333253860474,0.6686751246452332,2.0,1230
42,0.4333333373069763,0.626062273979187,2.0,1260
43,0.5,0.5085476040840149,1.0,1290
44,0.6000000238418579,0.4982728660106659,1.0,1320
45,0.6000000238418579,0.4982728660106659,1.0,1350
46,0.5333333611488342,0.5074162483215332,1.0,1380
47,0.6000000238418579,0.4982728660106659,1.0,1410
48,0.4000000059604645,0.4982728958129883,1.0,1440
49,0.4333333373069763,0.5040069818496704,1.0,1470
50,0.5,0.5085476040840149,1.0,1500
51,0.36666667461395264,0.49013251066207886,1.0,1530
52,0.5333333611488342,0.5074162483215332,1.0,1560
53,0.46666666865348816,0.5074162483215332,1.0,1590
54,0.5,0.5085476040840149,1.0,1620
55,0.5333333611488342,0.5074162483215332,1.0,1650
56,0.6000000238418579,0.6214554309844971,2.0,1680
57,0.2666666805744171,0.4497765004634857,1.0,1710
58,0.4333333373069763,0.5040069818496704,1.0,1740
59,0.5333333611488342,0.5074162483215332,1.0,1770
60,0.6333333253860474,0.49013251066207886,1.0,1800
61,0.36666667461395264,0.4901324510574341,1.0,1830
62,0.4000000059604645,0.4982728958129883,1.0,1860
63,0.3333333432674408,0.47946327924728394,1.0,1890
64,0.46666666865348816,0.6814454197883606,3.0,1920
65,0.3333333432674408,0.47946327924728394,1.0,1950
66,0.4333333373069763,0.5040069818496704,1.0,1980
67,0.5666666626930237,0.5040069818496704,1.0,2010
68,0.30000001192092896,0.5959634780883789,2.0,2040
69,0.5,0.6297235488891602,2.0,2070
70,0.5,0.5723514556884766,2.0,2100
71,0.6666666865348816,0.5466722846031189,2.0,2130
72,0.6666666865348816,0.4794633090496063,1.0,2160
73,0.5333333611488342,0.5074162483215332,1.0,2190
74,0.6333333253860474,0.4901324510574341,1.0,2220
75,0.46666666865348816,0.5074162483215332,1.0,2250
76,0.5333333611488342,0.5074162483215332,1.0,2280
77,0.5666666626930237,0.5040069818496704,1.0,2310
78,0.36666667461395264,0.49013248085975647,1.0,2340
79,0.5666666626930237,0.5040069818496704,1.0,2370
80,0.5666666626930237,0.5040069818496704,1.0,2400
81,0.5666666626930237,0.5040069818496704,1.0,2430
82,0.4333333373069763,0.5040069818496704,1.0,2460
83,0.5,0.5085476040840149,1.0,2490
84,0.36666667461395264,0.49013248085975647,1.0,2520
85,0.4000000059604645,0.4982728958129883,1.0,2550
86,0.5666666626930237,0.5683207511901855,2.0,2580
87,0.4000000059604645,0.4982728958129883,1.0,2610
88,0.5,0.5085476040840149,1.0,2640
89,0.46666666865348816,0.5074162483215332,1.0,2670
90,0.6000000238418579,0.4982728362083435,1.0,2700
91,0.6000000238418579,0.4982728660106659,1.0,2730
92,0.4333333373069763,0.5040069818496704,1.0,2760
93,0.5333333611488342,0.5074162483215332,1.0,2790
94,0.4000000059604645,0.4982728958129883,1.0,2820
95,0.46666666865348816,0.5074162483215332,1.0,2850
96,0.36666667461395264,0.49013251066207886,1.0,2880
97,0.6333333253860474,0.4901324510574341,1.0,2910
98,0.6000000238418579,0.5632418394088745,2.0,2940
99,0.5333333611488342,0.507416307926178,1.0,2970
100,0.4000000059604645,0.4982728958129883,1.0,3000
101,0.4333333373069763,0.5040069818496704,1.0,3030
102,0.6000000238418579,0.4982728660106659,1.0,3060
103,0.5,0.5723514556884766,2.0,3090
104,0.4000000059604645,0.4982728958129883,1.0,3120
105,0.5,0.5085476040840149,1.0,3150
106,0.5333333611488342,0.5713465213775635,2.0,3180
107,0.6000000238418579,0.4982728660106659,1.0,3210
108,0.5333333611488342,0.5074162483215332,1.0,3240
109,0.5333333611488342,0.5713465213775635,2.0,3270
110,0.30000001192092896,0.5959634184837341,2.0,3300
111,0.5333333611488342,0.5713465213775635,2.0,3330
112,0.4333333373069763,0.5040069818496704,1.0,3360
113,0.5666666626930237,0.5683207511901855,2.0,3390
114,0.5,0.5085476040840149,1.0,3420
115,0.4333333373069763,0.5040069818496704,1.0,3450
116,0.46666666865348816,0.5713465213775635,2.0,3480
117,0.5,0.5085476040840149,1.0,3510
118,0.5666666626930237,0.626062273979187,2.0,3540
119,0.4333333373069763,0.5683207511901855,2.0,3570
120,0.6000000238418579,0.7239736914634705,2.0,3600
121,0.5666666626930237,0.626062273979187,2.0,3630
