#{"t_start": 1774679994.174659, "env_id": "None"}
r,l,t
1.0,16,2.065793
1.0,16,2.068319
1.0,16,2.070827
0.0,6,2.071931
0.0,6,2.076233
0.0,6,2.077091
0.0,6,2.078116
0.0,6,2.078943
1.0,16,2.084686
1.0,16,2.086761
0.0,6,2.087738
2.0,28,2.091938
0.0,6,2.095736
3.0,38,2.10151
1.0,16,2.103101
0.0,6,2.10368
1.0,16,2.10744
1.0,16,2.108927
0.0,6,2.109586
2.0,26,2.112163
1.0,16,2.116761
0.0,6,2.117541
1.0,16,2.119169
0.0,6,2.119847
1.0,16,2.125597
0.0,6,2.126247
0.0,6,2.126812
0.0,6,2.12745
0.0,6,2.130363
0.0,6,2.131115
0.0,6,2.131752
1.0,16,2.133163
0.0,6,2.136084
1.0,16,2.137605
1.0,16,2.139021
1.0,16,2.140579
0.0,6,2.143603
0.0,6,2.144271
4.0,48,2.148404
0.0,6,2.149028
0.0,6,2.152317
0.0,6,2.152903
1.0,16,2.15441
0.0,6,2.15505
0.0,6,2.157903
0.0,6,2.158613
0.0,6,2.159194
0.0,6,2.159806
0.0,6,2.162818
1.0,16,2.164217
1.0,16,2.165732
0.0,6,2.166408
0.0,6,2.169314
0.0,6,2.170038
1.0,16,2.171753
0.0,6,2.172392
1.0,16,2.17715
0.0,6,2.178166
0.0,6,2.179034
0.0,6,2.180033
0.0,6,2.183781
0.0,6,2.184821
0.0,6,2.185527
0.0,6,2.186294
0.0,6,2.190064
0.0,6,2.191122
1.0,16,2.192854
1.0,16,2.194357
1.0,16,2.197931
0.0,6,2.198449
1.0,16,2.199865
0.0,6,2.200491
0.0,6,2.203233
0.0,6,2.203871
0.0,6,2.204385
0.0,6,2.204978
2.0,26,2.209166
0.0,6,2.209768
0.0,6,2.210304
0.0,6,2.210921
0.0,6,2.21368
1.0,16,2.215024
0.0,6,2.215625
1.0,16,2.21694
0.0,6,2.219566
0.0,6,2.220191
0.0,6,2.22075
1.0,16,2.222117
0.0,6,2.225264
1.0,16,2.226741
0.0,6,2.227304
1.0,16,2.228784
1.0,16,2.235431
0.0,6,2.236036
0.0,6,2.23657
0.0,6,2.23714
0.0,6,2.239953
0.0,6,2.240663
0.0,6,2.24121
0.0,6,2.241825
0.0,6,2.244482
0.0,6,2.245115
1.0,16,2.246463
1.0,16,2.247817
1.0,16,2.251472
0.0,6,2.252001
0.0,6,2.252598
0.0,6,2.253093
0.0,6,2.25575
0.0,6,2.256271
0.0,6,2.256868
0.0,6,2.257386
0.0,6,2.260072
0.0,6,2.260698
0.0,6,2.261315
0.0,6,2.262114
0.0,6,2.266479
0.0,6,2.26738
0.0,6,2.268433
0.0,6,2.269295
1.0,16,2.275408
1.0,16,2.277527
0.0,6,2.278437
0.0,6,2.27953
0.0,6,2.283654
0.0,6,2.28463
1.0,16,2.286737
0.0,6,2.287656
3.0,38,2.297895
0.0,6,2.298966
3.0,38,2.302327
0.0,6,2.302976
0.0,6,2.305711
1.0,16,2.307082
0.0,6,2.30768
0.0,6,2.308218
0.0,6,2.311006
1.0,16,2.312536
1.0,16,2.313862
0.0,6,2.314368
2.0,26,2.318876
0.0,6,2.319398
0.0,6,2.319976
1.0,16,2.321382
0.0,6,2.323989
0.0,6,2.324612
0.0,6,2.325109
1.0,16,2.326441
0.0,6,2.329094
0.0,6,2.329664
0.0,6,2.330273
0.0,6,2.330831
1.0,16,2.334795
1.0,16,2.336178
1.0,16,2.337579
0.0,6,2.338198
0.0,6,2.342502
1.0,16,2.343893
0.0,6,2.344472
1.0,16,2.3458
0.0,6,2.348416
0.0,6,2.349039
1.0,16,2.350406
0.0,6,2.350972
0.0,6,2.353734
0.0,6,2.354272
1.0,16,2.355628
1.0,16,2.35703
0.0,6,2.359806
0.0,6,2.360378
0.0,6,2.361004
1.0,16,2.362394
0.0,6,2.365222
4.0,48,2.369172
1.0,16,2.370494
1.0,16,2.37197
0.0,6,2.374737
1.0,16,2.376084
0.0,6,2.37662
0.0,6,2.377181
1.0,16,2.381027
0.0,6,2.381618
2.0,26,2.383757
0.0,6,2.384273
0.0,6,2.386939
0.0,6,2.387483
1.0,16,2.388821
0.0,6,2.389409
0.0,6,2.392098
1.0,16,2.394816
0.0,6,2.395439
1.0,16,2.396828
1.0,16,2.400343
2.0,28,2.402727
0.0,6,2.40323
2.0,26,2.405388
0.0,6,2.408027
1.0,16,2.409472
0.0,6,2.410065
0.0,6,2.410649
0.0,6,2.413452
0.0,6,2.414
0.0,6,2.414608
0.0,6,2.415108
0.0,6,2.417799
0.0,6,2.418323
2.0,28,2.420714
0.0,6,2.421404
0.0,6,2.42402
0.0,6,2.424651
0.0,6,2.425165
2.0,28,2.427408
0.0,6,2.430131
1.0,16,2.431625
0.0,6,2.432149
1.0,16,2.433471
0.0,6,2.436135
1.0,16,2.437524
0.0,6,2.438082
0.0,6,2.438729
2.0,28,2.443755
0.0,6,2.444321
1.0,16,2.445723
0.0,6,2.446358
1.0,16,2.451647
1.0,16,2.452991
1.0,16,2.454317
0.0,6,2.454854
1.0,16,2.458273
0.0,6,2.458889
0.0,6,2.459397
0.0,6,2.45998
2.0,26,2.464588
0.0,6,2.465169
1.0,16,2.466499
0.0,6,2.467018
0.0,6,2.469785
0.0,6,2.470348
0.0,6,2.470982
0.0,6,2.471568
1.0,16,2.475104
0.0,6,2.475719
0.0,6,2.476216
0.0,6,2.476809
0.0,6,2.479413
0.0,6,2.480034
0.0,6,2.480622
1.0,16,2.481998
0.0,6,2.484751
2.0,26,2.486913
0.0,6,2.487502
0.0,6,2.48803
1.0,16,2.491556
0.0,6,2.492206
0.0,6,2.492729
0.0,6,2.493317
0.0,6,2.495968
0.0,6,2.496599
1.0,16,2.49795
0.0,6,2.498467
2.0,28,2.502982
1.0,16,2.504322
0.0,6,2.504933
0.0,6,2.505463
